Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,29.15,29.15,3983.24,3983.24,4012.39,205.25,0.0,8.3,1245.86,1782.55,1236.16,192.39,106.18,3317.28,8575.53,1937.94,0.0,0.0,0.0,2141.83,872.59,463.6,16.33,3494.35,0.03,1711.81,2970.12,9.72,314.73,74.77,5081.18,8575.53,0.0,0.0,164.43,5326.9,15.07,17.35,0.0,872.57,0.03,0.0,1032.31,0.0,2087.79,34.08,38.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,29.2,29.2,5330.34,5330.34,5359.54,210.34,0.0,22.65,920.15,2209.37,1146.04,504.76,86.02,3946.19,10225.88,2190.01,0.0,227.19,0.0,2417.2,993.11,418.94,28.55,3857.8,19.64,2145.05,3708.94,11.13,400.85,82.47,6368.08,10225.88,0.0,0.0,205.69,6251.41,9.9,17.35,0.0,993.11,0.03,19.61,687.16,0.0,2121.05,85.04,121.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,58.52,58.52,6807.33,6807.33,6865.85,0.0,0.0,21.26,356.02,3417.15,1278.67,597.94,49.93,5343.69,12565.56,2568.13,0.0,742.14,0.0,3310.27,1183.33,29.6,261.0,4791.06,0.02,2431.6,4380.97,330.81,9.48,621.62,7774.5,12565.56,0.0,0.0,2879.84,7092.68,8.83,46.55,0.0,1183.33,0.02,0.0,334.76,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,58.59,58.59,8377.59,8377.59,8436.18,0.0,0.0,20.87,139.77,2751.27,1217.6,416.6,61.5,4446.97,13022.92,3211.62,0.0,878.31,28.67,4118.6,1681.93,46.36,272.6,6119.57,0.02,2433.62,3773.63,33.64,10.25,652.19,6903.35,13022.92,0.0,0.0,3022.43,7576.07,7.7,46.55,0.0,1681.93,0.02,0.0,118.9,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,58.59,58.59,9923.99,9923.99,9982.58,23.48,0.0,33.6,57.08,3653.83,1629.24,396.57,74.54,5754.18,15793.84,3392.97,0.0,1100.23,43.75,4536.95,1967.48,13.26,294.95,6812.64,0.02,3409.23,4468.23,245.9,8.23,849.59,8981.2,15793.84,1480.23,0.0,3470.03,8068.05,4.67,46.55,0.0,1967.48,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,58.59,58.59,11292.03,11292.03,11350.62,31.0,0.0,22.64,53.64,4519.8,1841.39,278.76,96.51,6736.46,18140.72,4145.85,3.85,750.07,38.94,4938.71,2339.04,146.56,308.07,7732.38,0.02,3971.26,5232.07,75.77,9.82,1119.4,10408.34,18140.72,2736.18,3674.13,384.78,9709.12,22.52,46.55,0.0,2339.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,58.59,58.59,12966.97,12966.97,13025.56,95.53,11.14,42.44,149.11,3730.32,1914.53,600.19,114.86,6359.9,19534.57,4361.8,2.89,726.62,0.0,5091.31,2519.68,427.24,248.25,8286.48,0.02,4314.56,5789.57,78.25,12.15,1053.54,11248.09,19534.57,2174.36,3490.17,408.93,10712.59,31.88,46.55,0.0,2519.68,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,58.59,58.59,15866.02,15866.02,15924.61,433.38,74.42,0.0,507.8,3953.1,2060.95,631.53,111.0,6756.58,23188.99,4457.32,14.75,719.02,15.87,5206.96,4880.89,401.52,321.76,10811.13,129.04,4841.38,5928.01,386.18,12.03,1081.22,12377.86,23188.99,1337.36,4061.48,433.08,13324.78,19.91,46.55,0.0,4880.89,100.04,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,58.59,58.59,17058.75,17058.75,17117.34,237.03,60.58,5.03,302.64,1818.62,1661.15,597.84,103.36,4180.97,21600.95,3560.27,25.56,225.15,0.0,3810.98,6584.35,828.43,542.08,11765.84,0.01,3356.18,3973.24,50.78,8.97,2445.93,9835.11,21600.95,277.61,2796.47,355.9,7286.22,438.29,46.55,0.0,6584.35,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,58.59,58.59,17855.58,17855.58,17914.17,215.91,42.91,87.31,346.13,4142.57,2202.32,298.8,29.66,6673.35,24933.65,3481.88,205.62,239.09,0.0,3926.59,8221.77,2601.15,460.5,15210.01,0.01,4125.26,4560.26,132.14,7.99,897.98,9723.64,24933.65,596.69,3805.98,338.75,8370.34,177.99,46.55,0.0,8221.77,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,58.59,58.59,19664.23,19664.23,19722.82,118.91,21.51,46.0,186.42,2817.84,1789.23,619.64,18.03,5244.74,25153.98,2222.21,196.92,132.68,0.0,2551.81,13393.43,1429.47,540.14,17914.85,0.01,2367.6,3776.59,94.34,4.6,995.99,7239.13,25153.98,2053.57,3330.78,483.04,9534.2,294.8,46.55,0.0,13393.43,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
