Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-06-30,1625.24,8.24,1633.48,1.99,58.06,72.38,0.66,0.0,1438.13,62.26,37.85,100.11,0.05,100.06,0.0,100.06,32.4,67.66,0.0,67.66,180.0,0.38,0.38,0.0,0.0,0.0,0.0,0.0
2018-09-30,1541.09,40.97,1582.06,0.51,24.57,67.62,0.64,23.5,1406.76,58.47,64.42,122.89,0.0,122.89,0.0,122.89,36.93,85.96,0.0,85.96,180.0,0.48,0.48,0.0,0.0,0.0,0.0,0.0
2018-12-31,1622.28,29.34,1651.62,1.0,30.3,63.39,0.58,20.0,1463.5,72.84,38.71,111.54,0.17,111.38,0.0,111.38,33.64,77.73,0.0,77.73,180.0,0.43,0.43,0.0,0.0,0.0,0.0,0.0
2019-03-31,2353.0,24.61,2377.61,15.52,93.54,59.74,0.76,-7.93,2037.95,178.03,46.48,224.52,0.38,224.13,0.0,224.13,71.38,152.75,0.0,152.75,180.0,0.85,0.85,0.0,0.0,0.0,0.0,0.0
2019-06-30,1254.55,2.05,1256.6,0.33,-9.95,63.34,0.69,17.0,1184.01,1.18,37.66,38.84,2.65,36.2,0.0,36.2,10.9,25.3,0.0,25.3,180.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0
2019-09-30,1095.5,2.97,1098.47,0.52,-13.94,69.26,0.78,19.0,1041.54,-18.68,111.73,93.05,0.0,93.05,0.0,93.05,121.97,-28.93,0.0,-28.93,180.0,-0.16,-0.16,0.0,0.0,0.0,0.0,0.0
2019-12-31,1265.55,0.0,1265.55,1.62,-17.95,61.69,0.71,0.0,1208.25,11.23,39.51,50.74,1.33,49.41,0.0,49.41,14.43,34.97,0.0,34.97,180.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0
2020-03-31,1569.57,20.15,1589.72,5.68,88.2,59.44,0.6,0.33,1417.7,17.78,46.19,63.97,1.34,62.64,0.0,62.64,14.11,48.52,0.0,48.52,180.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0
2020-06-30,433.17,3.29,436.45,0.0,2.52,60.65,0.63,0.13,400.29,-27.75,40.11,12.36,1.35,11.01,0.0,11.01,3.17,7.84,0.0,7.84,180.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0
2020-09-30,995.28,11.37,1006.65,0.98,6.26,62.23,0.58,1.7,926.75,8.15,39.82,47.97,1.36,46.61,0.0,46.61,12.4,34.22,0.0,34.22,180.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0
2020-12-31,1508.37,0.0,1508.37,0.09,18.46,59.78,0.56,0.0,1388.41,41.06,45.29,86.35,1.38,84.97,0.0,84.97,3.08,81.89,0.0,81.89,180.0,0.45,0.45,0.0,0.0,0.0,0.0,0.0
2021-03-31,1959.94,36.05,1995.99,0.25,20.87,55.65,0.54,0.0,1861.72,56.96,47.4,104.37,2.51,101.85,0.0,101.85,24.05,77.8,0.0,77.8,180.0,0.43,0.43,0.0,0.0,0.0,0.0,0.0
2021-06-30,934.81,0.0,934.81,0.0,4.04,56.43,0.44,0.0,871.94,1.96,36.87,38.83,1.4,37.43,0.0,37.43,10.21,27.22,0.0,27.22,180.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2021-09-30,1302.9,0.0,1302.9,26.2,1.17,57.33,0.43,0.0,1183.33,34.44,51.68,86.12,1.41,84.71,0.0,84.71,19.07,65.64,0.0,65.64,180.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2021-12-31,1508.65,0.0,1508.65,0.06,20.95,59.46,0.44,0.0,1372.27,55.46,39.73,95.19,1.42,93.78,0.0,93.78,24.43,69.35,0.0,69.35,180.0,0.39,0.39,0.0,0.0,0.0,0.0,0.0
2022-03-31,1800.25,0.0,1800.25,1.02,10.51,62.6,0.41,0.0,1662.98,62.73,59.31,122.04,1.43,120.61,-99.8,20.81,0.17,20.65,0.0,20.65,180.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0
2022-06-30,1359.22,6.59,1365.81,0.02,19.39,59.18,0.4,0.0,1238.65,48.17,46.88,95.04,1.43,93.61,-110.5,-16.89,-3.69,-13.2,0.0,-13.2,180.0,-0.07,-0.07,0.0,0.0,0.0,0.0,0.0
2022-09-30,1542.45,14.0,1556.46,0.0,29.85,63.56,0.43,0.0,1378.88,83.73,46.42,130.15,0.01,130.14,-0.02,130.12,30.68,99.44,0.0,99.44,180.0,0.55,0.55,0.0,0.0,0.0,0.0,0.0
2022-12-31,1574.28,12.4,1586.68,0.0,19.12,63.26,0.44,0.0,1425.99,77.87,45.89,123.76,0.0,123.76,-54.36,69.4,20.88,48.52,0.0,48.52,180.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0
2023-03-31,2175.88,51.47,2227.36,0.0,40.51,70.51,0.83,0.0,2026.15,89.36,45.08,134.43,0.0,134.43,-4.77,129.65,33.28,96.38,0.0,96.38,180.0,0.54,0.54,0.0,0.0,0.0,0.0,0.0
2023-06-30,1478.07,0.0,1478.07,0.0,9.69,63.13,0.45,0.0,1357.48,47.31,37.36,84.67,0.0,84.67,0.0,84.67,21.54,63.13,0.0,63.13,180.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0
2023-09-30,1622.05,0.0,1622.05,2.96,22.14,62.9,0.48,0.0,1445.35,88.22,80.27,168.49,0.01,168.48,-65.39,103.09,17.82,85.27,0.0,85.27,180.0,0.47,0.47,0.0,0.0,0.0,0.0,0.0
2023-12-31,1914.1,4.51,1918.6,0.0,20.64,63.26,0.49,0.0,1732.39,101.83,46.36,148.19,0.0,148.19,-22.53,125.66,31.99,93.67,0.0,93.67,180.0,0.52,0.52,0.0,0.0,0.0,0.0,0.0
2024-03-31,2958.58,73.32,3031.9,1.02,42.55,62.9,0.52,0.0,2723.37,201.53,37.2,238.73,0.0,238.73,-95.65,143.08,40.79,102.29,0.0,102.29,180.0,0.57,0.57,0.0,0.0,0.0,0.0,0.0
2024-06-30,1627.34,0.0,1627.34,0.14,19.39,67.07,0.56,0.0,1462.44,77.73,38.52,116.25,0.0,116.25,0.0,116.25,29.62,86.63,0.0,86.63,180.0,0.48,0.48,0.0,0.0,0.0,0.0,0.0
2024-09-30,1864.9,0.0,1864.9,0.14,44.98,66.81,0.58,0.0,1674.78,77.62,78.41,156.03,0.01,156.02,0.0,156.02,32.32,123.7,0.0,123.7,180.0,0.46,0.46,0.0,0.0,0.0,0.0,0.0
2024-12-31,2047.77,0.0,2047.77,0.0,8.34,66.2,0.61,0.0,1859.78,112.84,58.42,171.27,0.0,171.26,0.0,171.26,42.67,128.6,0.0,128.6,270.0,0.48,0.48,0.0,0.0,0.0,0.0,0.0
