Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Provisions,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Raw Materials
2015-03-31,472.45,472.45,6436.21,6436.21,6908.66,5018.94,838.47,1058.98,6987.67,0.0,621.08,1109.47,228.84,1959.39,15855.72,9093.01,7.49,165.99,0.0,0.0,9266.49,2195.44,14.18,1.89,11478.0,462.17,253.1,874.31,1580.34,774.12,433.68,4377.72,15855.72,504.13,19.0,16.53,3.23,2192.44,0.0,462.17,71.28,293.69,6.97,0.0,0.0
2016-03-31,480.62,480.62,5977.86,5977.86,6458.48,8096.39,1286.13,1756.21,11218.79,0.0,734.96,1049.06,39.28,1823.3,19500.57,14900.78,6.71,201.08,3.1,0.53,15112.2,209.17,0.0,808.97,16130.34,485.32,419.59,1048.92,778.39,53.66,584.35,3370.23,19500.57,2003.2,51.26,0.0,5.22,204.23,0.0,485.32,80.06,244.3,266.69,0.0,0.0
2017-03-31,480.62,480.62,6403.86,6403.86,6884.48,8111.74,1312.39,1737.82,11257.86,76.62,733.0,1618.51,44.15,2472.28,20614.62,16591.07,7.4,320.37,2.61,0.53,16921.98,200.8,14.99,521.58,17659.35,552.92,368.88,968.91,268.9,58.88,736.78,2955.27,20614.62,690.15,0.0,0.0,7.04,194.23,0.0,552.92,95.91,0.0,0.0,0.0,0.0
2018-03-31,480.62,480.62,7212.07,7212.07,7692.69,8502.4,1469.74,1929.23,11980.33,0.0,657.28,1740.3,31.81,2429.39,22102.41,16792.56,13.23,390.47,2.04,0.0,17198.3,375.01,16.73,683.37,18273.41,614.12,454.38,1124.48,269.73,634.49,731.8,3829.0,22102.41,2308.75,0.46,41.94,8.42,366.75,0.0,614.12,78.96,991.34,3.62,0.0,0.0
2019-03-31,480.62,480.62,8456.18,8456.18,8936.8,8033.38,1556.26,2135.99,11808.78,300.05,785.13,1951.61,42.29,3079.08,23824.66,16995.13,17.31,358.77,0.0,0.0,17371.21,689.93,145.15,1105.43,19311.72,472.46,626.67,1170.53,326.25,204.02,1713.01,4512.94,23824.66,3959.21,2071.57,6.62,10.54,679.74,0.0,472.46,83.15,0.0,0.0,0.0,0.0
2020-03-31,480.62,480.62,8706.65,8706.65,9187.27,7296.28,542.51,1272.07,9110.86,0.0,1027.26,3209.53,344.71,4581.5,22879.63,15775.87,14.98,567.4,0.19,0.0,16358.44,518.77,1123.92,344.88,18346.01,502.2,597.89,1180.58,224.2,91.39,1937.36,4533.62,22879.63,765.39,2163.65,1.88,13.03,103.84,0.0,502.2,0.0,0.0,0.0,0.0,0.0
2021-03-31,480.62,480.62,9770.61,9770.61,10251.23,6071.12,518.15,1314.46,7903.73,0.0,970.77,3349.08,303.2,4623.05,22778.01,15563.13,18.39,837.73,0.0,0.37,16419.62,538.93,1087.04,398.9,18444.49,241.63,386.16,1275.52,188.77,145.4,2096.04,4333.52,22778.01,1271.53,2097.27,0.01,14.85,110.23,0.0,241.63,0.0,0.0,0.0,0.0,0.0
2022-03-31,480.62,480.62,9485.4,9485.4,9966.02,6119.99,317.79,1457.54,7895.32,1745.93,1107.61,2620.18,269.55,5743.27,23604.61,14274.93,18.99,1186.07,0.0,13.27,15493.26,1160.99,349.32,992.57,17996.14,253.27,437.96,1363.63,206.93,1031.53,2315.15,5608.47,23604.61,2208.5,1264.47,0.0,16.3,116.94,0.0,253.27,0.0,0.0,0.0,0.0,0.0
2023-03-31,480.62,480.62,10539.05,10539.05,11019.67,7044.53,643.46,1625.34,9313.33,1345.09,1081.34,2985.17,242.9,5654.5,25987.5,14744.49,11.65,1608.99,0.0,9.76,16374.89,1811.23,1507.56,310.31,20003.99,682.31,645.71,1516.04,281.58,105.16,2752.71,5983.51,25987.5,2500.55,1342.41,0.36,15.7,0.05,1.98,680.38,0.0,0.0,0.0,0.0,0.0
2024-03-31,480.62,480.62,11557.88,11557.88,12038.5,8285.07,885.07,1828.6,10998.74,1418.45,1090.43,3458.4,186.89,6154.17,29191.41,16135.69,7.09,815.94,0.0,0.37,16959.09,1913.25,3018.8,267.03,22158.17,829.04,645.56,1565.93,310.93,268.19,3413.59,7033.24,29191.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
