Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,Trade/Other Goods,Deferred Tax Liabilities [Net],Capital Goods,Preference Share Capital,Equity Share Application Money,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2014-03-31,145.33,145.33,3669.16,3669.16,3814.49,1358.94,64.37,56.38,1479.68,3298.57,1187.5,946.27,103.89,5536.22,10830.39,1186.16,2.1,49.62,0.0,0.0,1237.88,808.97,54.56,3698.2,0.13,5799.74,120.66,1535.4,1713.58,497.29,1163.64,0.08,5030.64,10830.39,1610.39,160.91,9.09,100.77,8.14,779.24,664.98,0.0,120.66,396.3,0.0,0.0,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,145.33,145.33,1796.75,1796.75,1942.07,1509.51,43.92,66.11,1619.54,3621.32,718.01,868.62,248.37,5456.33,9017.94,1067.92,1.49,64.55,0.0,0.0,1133.96,430.36,87.31,2706.04,0.13,4357.8,120.71,1554.24,1745.48,239.69,912.82,87.21,4660.14,9017.94,1160.2,101.19,0.0,140.45,6.83,928.95,1387.19,0.0,120.71,193.58,15.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,145.3,145.3,1568.7,1568.7,1714.0,705.7,8.4,68.3,782.4,2994.1,1001.8,1464.3,235.9,5696.1,8192.5,1074.9,1.3,244.9,0.0,0.0,1321.1,991.3,153.9,90.3,536.2,3092.8,1.1,1899.9,2314.0,12.7,0.0,872.0,5093.1,8192.5,1198.1,136.9,0.0,93.45,6.65,129.5,1364.4,0.0,0.0,141.76,16.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,145.3,145.3,1792.5,1792.5,1937.8,856.9,0.0,42.2,899.1,2827.2,1179.8,1691.1,261.5,5959.6,8796.5,1175.1,12.1,85.1,0.0,0.0,1272.3,323.8,124.1,644.4,747.6,3112.2,0.0,1853.8,2960.5,52.3,18.9,798.8,5684.3,8796.5,1455.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,145.3,145.3,2358.5,2358.5,2503.8,752.7,0.0,51.2,803.9,2143.5,1424.0,1503.3,293.0,5363.8,8671.5,990.1,12.0,98.0,0.0,0.0,1100.1,277.5,85.6,580.0,1026.5,3069.7,0.0,1869.4,2699.8,119.8,26.3,886.5,5601.8,8671.5,1425.7,249.2,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,145.3,145.3,2986.2,2986.2,3131.5,764.3,0.0,51.8,816.1,1808.6,1336.0,1244.2,325.9,4714.7,8662.3,1115.1,13.1,100.6,16.5,0.0,1245.3,298.4,187.8,647.5,1376.1,3755.1,0.0,1876.7,2518.1,58.8,16.9,436.7,4907.2,8662.3,1805.9,295.88,0.0,0.0,109.52,142.7,726.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,145.3,145.3,3664.4,3664.4,3809.7,0.0,120.3,7.0,127.3,1323.0,1171.2,1695.8,427.5,4617.5,8554.5,1304.4,30.3,101.7,17.0,0.0,1453.4,252.6,159.0,400.0,1507.6,3772.6,0.0,1836.1,2283.5,34.5,15.9,611.9,4781.9,8554.5,1747.9,510.41,0.0,0.0,317.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,145.3,145.3,3981.5,3981.5,4126.8,0.0,92.5,7.5,100.0,555.6,1381.3,1439.6,537.9,3914.4,8141.2,1269.2,31.6,78.1,8.4,0.0,1387.3,202.1,171.1,174.2,1407.3,3342.0,0.0,1981.0,2160.1,55.3,100.5,502.3,4799.2,8141.2,1928.7,378.08,0.0,0.0,217.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,145.3,145.3,4756.4,4756.4,4901.7,0.0,134.1,13.2,147.3,0.0,1504.8,1403.9,457.6,3366.3,8415.3,1276.6,24.6,81.7,8.0,0.0,1390.9,216.9,147.8,0.0,1512.7,3268.3,222.1,2077.1,2302.1,32.8,138.7,374.2,5147.0,8415.3,2046.4,663.38,0.0,0.0,162.01,0.0,0.0,0.0,222.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,145.5,145.5,5799.0,5799.0,5944.5,0.3,80.0,12.3,92.6,0.8,1738.3,1423.7,371.5,3534.3,9571.4,1150.9,31.2,66.8,16.0,25.3,1290.2,205.9,157.3,0.0,1696.8,3350.2,255.8,2230.0,2382.8,849.6,108.7,394.3,6221.2,9571.4,1435.4,1117.31,0.0,0.0,136.35,0.0,0.0,255.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,145.0,145.0,6818.0,6818.0,6963.0,0.0,137.0,15.0,152.0,0.0,1827.0,1433.0,367.0,3627.0,10742.0,1071.0,35.0,37.0,0.0,139.0,1282.0,224.0,177.0,0.0,2041.0,3724.0,599.0,2063.0,2763.0,1209.0,10.0,374.0,7018.0,10742.0,1110.0,998.56,0.0,0.0,142.86,0.0,0.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
