Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,1848.72,17.43,1866.15,1114.28,61.43,-86.97,162.91,24.89,152.27,0.0,273.33,164.01,14.57,178.58,128.38,50.2,0.0,50.2,38.59,11.61,11.61,145.33,3.15,3.15,5.98,41.13,8.23,96.24,56.66
2015-09-30,5346.61,23.3,5369.91,1135.3,54.1,-88.31,165.24,24.07,88.87,0.0,3701.12,289.52,6.02,295.54,110.0,185.54,-54.16,131.38,60.14,71.24,71.24,145.33,4.9,4.9,0.0,0.0,0.0,0.0,0.0
2015-12-31,2410.49,12.49,2422.98,1296.31,245.13,-93.59,172.81,25.42,192.61,0.0,342.44,241.85,-4.28,237.57,107.66,129.91,-42.12,87.79,50.56,37.23,37.23,145.33,2.56,2.56,0.0,0.0,0.0,0.0,0.0
2016-03-31,2037.0,6.4,2043.4,1113.3,24.4,73.0,141.8,27.1,180.1,0.0,395.0,88.7,89.4,178.1,100.9,77.2,-31.7,45.5,44.1,1.4,1.4,145.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2016-06-30,2027.33,13.21,2040.54,1043.98,102.15,11.5,180.19,26.1,167.34,0.0,336.89,172.39,21.36,193.75,102.96,90.79,-21.72,69.07,25.27,43.8,43.8,145.33,2.9,2.9,0.0,0.0,0.0,0.0,0.0
2016-09-30,2037.7,10.6,2048.3,1134.27,96.05,-53.26,204.73,33.18,130.76,0.0,328.04,174.53,28.28,202.81,88.5,114.31,3.98,118.29,35.75,82.54,82.54,145.33,5.68,5.68,0.0,0.0,0.0,0.0,0.0
2016-12-31,2484.49,9.82,2494.31,1265.14,136.78,23.16,161.52,31.26,204.15,0.0,409.97,262.33,35.57,297.9,92.23,205.67,0.0,205.67,57.97,147.7,147.7,145.33,10.16,10.16,0.0,0.0,0.0,0.0,0.0
2017-03-31,2014.0,11.0,2025.0,1018.0,49.6,63.0,121.0,41.8,164.5,0.0,343.8,223.3,14.3,237.6,85.3,152.3,-290.8,-138.5,-34.3,-104.2,-104.2,145.3,-7.17,-7.17,0.0,0.0,0.0,0.0,0.0
2017-06-30,1781.8,0.0,1781.8,800.9,28.2,132.8,165.8,32.1,162.7,0.0,334.0,125.3,30.9,156.2,70.3,85.9,-0.8,85.1,22.2,62.9,62.9,145.3,4.33,4.33,0.0,0.0,0.0,0.0,0.0
2017-09-30,1951.3,0.0,1951.3,1004.6,63.5,-45.7,159.4,32.6,144.9,0.0,306.9,285.1,30.5,315.6,65.9,249.7,-14.4,235.3,82.2,153.1,153.1,145.3,10.53,10.53,0.0,0.0,0.0,0.0,0.0
2017-12-31,2263.3,0.0,2263.3,1112.9,72.6,5.9,149.6,33.7,259.9,0.0,390.1,238.6,23.6,262.2,65.8,196.4,-12.6,183.8,49.1,134.7,134.7,145.33,9.27,9.27,0.0,0.0,0.0,0.0,0.0
2018-03-31,2173.7,0.0,2173.7,1150.9,73.2,-110.7,185.3,36.7,220.7,0.0,380.2,237.4,121.0,358.4,59.1,299.3,36.8,336.1,125.1,211.0,211.0,145.33,14.52,14.52,0.0,0.0,0.0,0.0,0.0
2018-06-30,2011.9,0.0,2011.9,891.4,25.4,106.4,204.8,33.9,211.2,0.0,380.4,158.4,21.4,179.8,55.9,123.9,0.0,123.9,42.6,81.3,81.3,145.33,1.12,1.12,0.0,0.0,0.0,0.0,0.0
2018-09-30,2228.1,0.0,2228.1,1155.2,74.1,-94.7,141.4,35.0,200.5,0.0,319.2,397.4,24.9,422.3,41.5,380.8,0.0,380.8,122.1,258.7,258.7,145.33,3.56,3.56,0.0,0.0,0.0,0.0,0.0
2018-12-31,2500.9,0.0,2500.9,1148.7,119.2,49.1,158.7,35.5,267.1,0.0,410.3,312.3,61.4,373.7,55.2,318.5,-20.2,298.3,105.9,192.4,192.4,145.33,2.65,2.65,0.0,0.0,0.0,0.0,0.0
2019-03-31,2250.0,0.0,2250.0,1113.4,70.5,19.9,170.4,40.1,179.9,0.0,412.3,243.5,11.9,255.4,60.5,194.9,-6.5,188.4,62.2,126.2,126.2,145.3,1.73,1.73,0.0,0.0,0.0,0.0,0.0
2019-06-30,2218.4,0.0,2218.4,1007.2,72.7,88.8,138.1,50.0,170.8,0.0,345.7,345.1,10.1,355.2,52.0,303.2,0.0,303.2,105.8,197.4,197.4,145.3,2.72,2.72,0.0,0.0,0.0,0.0,0.0
2019-09-30,2296.2,0.0,2296.2,1344.7,75.6,-156.6,146.1,57.3,173.4,0.0,297.4,358.3,13.7,372.0,45.2,326.8,0.0,326.8,102.2,224.6,224.6,145.3,3.09,3.09,0.0,0.0,0.0,0.0,0.0
2019-12-31,2582.5,0.0,2582.5,1136.3,101.5,198.8,126.6,52.4,251.1,0.0,344.2,371.6,17.6,389.2,45.5,343.7,0.0,343.7,84.9,258.8,258.8,145.3,3.56,3.56,0.0,0.0,0.0,0.0,0.0
2020-03-31,1993.8,0.0,1993.8,1135.7,40.9,-23.6,110.6,67.8,120.0,0.0,338.8,203.6,4.1,207.7,48.0,159.7,1.3,161.0,137.1,23.9,23.9,145.3,0.33,0.33,0.0,0.0,0.0,0.0,0.0
2020-06-30,1030.2,0.0,1030.2,624.3,50.8,-74.0,120.3,63.8,51.8,0.0,334.6,-141.4,9.5,-131.9,49.9,-181.8,-75.0,-256.8,-41.5,-215.3,-215.3,145.3,-2.96,-2.96,0.0,0.0,0.0,0.0,0.0
2020-09-30,2145.9,0.0,2145.9,1139.0,35.1,67.7,140.0,57.1,183.5,0.0,310.9,212.6,12.8,225.4,50.7,174.7,0.0,174.7,46.3,128.4,128.4,145.3,1.76,1.76,0.0,0.0,0.0,0.0,0.0
2020-12-31,2488.7,0.0,2488.7,1252.1,144.9,-18.5,156.0,61.4,234.6,0.0,335.8,322.4,19.4,341.8,37.7,304.1,0.0,304.1,74.2,229.9,229.9,145.3,3.16,3.16,0.0,0.0,0.0,0.0,0.0
2021-03-31,2224.4,0.0,2224.4,973.2,118.6,155.0,124.1,67.0,101.7,0.0,340.0,344.8,6.1,350.9,27.5,323.4,-76.4,247.0,79.7,167.3,167.3,145.3,2.3,2.3,0.0,0.0,0.0,0.0,0.0
2021-06-30,1615.1,0.0,1615.1,1147.6,54.6,-307.6,187.4,55.4,83.8,0.0,281.6,112.3,10.6,122.9,19.8,103.1,-36.4,66.7,-2.4,69.1,69.1,145.3,0.95,0.95,0.0,0.0,0.0,0.0,0.0
2021-09-30,2446.8,0.0,2446.8,1167.5,109.1,88.7,166.3,65.5,177.9,0.0,311.7,360.1,3.5,363.6,-1.4,365.0,0.5,365.5,92.1,273.4,273.4,145.3,3.76,3.76,0.0,0.0,0.0,0.0,0.0
2021-12-31,2884.7,0.0,2884.7,1356.3,241.2,14.5,144.1,66.2,296.3,0.0,341.6,424.5,1.6,426.1,33.8,392.3,0.0,392.3,101.2,291.1,291.1,145.3,4.01,4.01,0.0,0.0,0.0,0.0,0.0
2022-03-31,2435.1,0.0,2435.1,1127.8,172.4,118.3,135.7,67.1,131.2,0.0,323.0,359.6,25.8,385.4,12.7,372.7,-173.2,199.5,63.3,136.2,136.2,145.3,1.87,1.87,0.0,0.0,0.0,0.0,0.0
2022-06-30,2169.3,0.0,2169.3,1392.5,237.8,-349.2,166.5,65.3,140.3,0.0,307.2,208.9,25.1,234.0,16.6,217.4,-38.4,179.0,-31.3,210.3,210.3,145.3,2.89,2.89,0.0,0.0,0.0,0.0,0.0
2022-09-30,2879.7,0.0,2879.7,1739.2,68.7,-65.7,148.4,55.9,158.4,0.0,384.8,390.0,8.1,398.1,14.1,384.0,371.6,755.6,192.6,563.0,563.0,145.3,7.75,7.75,0.0,0.0,0.0,0.0,0.0
2022-12-31,2781.1,0.0,2781.1,1419.1,80.8,153.1,160.8,63.6,276.8,0.0,322.7,304.2,23.2,327.4,24.3,303.1,-151.1,152.0,41.5,110.5,110.5,145.5,1.52,1.52,0.0,0.0,0.0,0.0,0.0
2023-03-31,2493.8,0.0,2493.8,756.8,476.9,128.6,121.9,68.4,344.4,0.0,327.2,269.6,16.9,286.5,36.0,250.5,-11.2,239.3,35.3,204.0,204.0,145.5,2.8,2.8,0.0,0.0,0.0,0.0,0.0
2023-06-30,2171.9,0.0,2171.9,1060.1,64.7,99.7,124.9,65.0,146.8,0.0,290.6,320.1,20.9,341.0,4.3,336.7,-17.1,319.6,81.4,238.2,238.2,145.5,3.27,3.27,0.0,0.0,0.0,0.0,0.0
2023-09-30,2864.7,0.0,2864.7,1526.8,234.9,-140.7,142.9,65.3,240.3,0.0,390.4,404.8,38.8,443.6,26.2,417.4,30.7,448.1,106.8,341.3,341.3,145.5,4.69,4.69,0.0,0.0,0.0,0.0,0.0
2023-12-31,2989.3,0.0,2989.3,1308.8,220.6,162.0,141.0,62.8,327.7,0.0,337.8,428.6,46.1,474.7,16.4,458.3,0.0,458.3,110.2,348.1,348.1,145.5,4.79,4.79,0.0,0.0,0.0,0.0,0.0
2024-03-31,2666.0,0.0,2666.0,1358.0,155.0,-2.0,134.0,71.0,326.0,0.0,333.0,291.0,229.0,520.0,29.0,491.0,-31.0,460.0,76.0,384.0,384.0,145.0,5.28,5.28,0.0,0.0,0.0,0.0,0.0
2024-06-30,2352.0,0.0,2352.0,1088.0,141.0,77.0,133.0,65.0,175.0,0.0,280.0,393.0,32.0,425.0,22.0,403.0,0.0,403.0,104.0,299.0,299.0,145.0,4.11,4.11,0.0,0.0,0.0,0.0,0.0
2024-09-30,2843.0,0.0,2843.0,1460.0,195.0,-97.0,162.0,69.0,257.0,0.0,359.0,438.0,34.0,472.0,25.0,447.0,0.0,447.0,112.0,335.0,335.0,145.0,4.61,4.61,0.0,0.0,0.0,0.0,0.0
2024-12-31,3432.0,0.0,3432.0,1493.0,343.0,61.0,173.0,72.0,379.0,0.0,395.0,516.0,190.0,706.0,20.0,686.0,-65.0,621.0,148.0,473.0,473.0,145.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0
2025-03-31,2946.0,0.0,2946.0,1402.0,185.0,49.0,137.0,68.0,317.0,0.0,351.0,437.0,170.0,607.0,22.0,585.0,0.0,585.0,134.0,451.0,451.0,145.0,6.2,6.2,0.0,0.0,0.0,0.0,0.0
