Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,723.08,723.08,18735.68,18735.68,0.0,19458.76,11808.36,1360.9,60.74,1157.31,14387.31,8183.7,12034.96,15694.09,2668.59,38581.34,72427.41,18968.83,70.68,3040.03,25.07,0.0,22104.61,7238.1,0.0,3266.66,166.14,32775.51,4608.79,19071.13,4080.16,203.76,941.35,10746.71,39651.9,72427.41,17397.99,5856.01,19122.06,0.0,638.54,2866.35,6546.09,4608.79,0.0,85221.96,124.83,268.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,723.08,723.08,21744.4,21744.4,0.0,22467.48,11737.01,1708.26,70.03,1108.6,14623.9,40.27,12216.41,16805.21,3575.61,32637.5,69728.88,20226.06,89.0,7640.61,25.07,0.0,27980.74,7302.05,0.0,4077.17,83.46,39443.42,5089.09,14457.85,2607.67,1360.2,748.39,6022.26,30285.46,69728.88,18904.19,8087.05,12364.27,0.0,638.54,3535.38,6610.04,5104.33,0.0,72139.49,77.28,432.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,723.08,723.08,26435.61,26435.61,0.0,27158.69,13685.69,2228.9,60.73,1156.84,17132.16,23.96,8430.79,20217.97,3025.84,31698.56,75989.41,23377.8,89.99,12402.75,215.18,0.0,36085.72,7875.58,0.0,3864.84,87.7,47913.84,5098.11,13696.28,2165.02,2067.35,1030.81,4018.0,28075.57,75989.41,15456.7,5672.4,7089.97,47.98,638.54,4563.8,7183.57,5091.67,20.0,43690.17,100.33,1238.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1311.25,1311.25,28357.13,28357.13,0.0,29668.38,13776.44,3501.71,200.69,1353.15,18831.99,7227.36,11359.78,23086.55,1815.57,43489.26,91989.63,31278.66,158.25,11216.73,405.79,0.4,43059.83,9241.11,0.0,3783.65,1646.92,57731.51,5360.34,19798.01,4758.18,64.69,70.65,4206.25,34258.12,91989.63,13775.02,62084.76,1695.3,8456.82,1294.16,594.85,97.81,5360.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1966.88,1966.88,32164.61,32164.61,0.0,34131.49,14758.22,4955.52,201.54,1367.04,21282.32,8093.01,14989.52,20182.07,1452.76,44717.36,100131.17,42810.6,217.51,4043.75,363.83,0.26,47435.95,10631.17,0.0,3089.91,1971.64,63128.67,4995.18,20874.57,5151.73,182.53,71.02,5727.47,37002.5,100131.17,17372.07,77477.92,0.0,10370.81,1882.32,575.94,105.27,4992.88,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1966.88,1966.88,34770.8,34770.8,0.0,36737.68,23628.57,6168.99,340.49,1509.86,31647.91,3580.75,17235.18,24678.77,1746.96,47241.66,115627.25,46259.18,228.7,6702.63,363.1,0.24,53553.85,10915.73,0.0,2515.66,2004.76,68990.0,5075.89,21544.65,6670.72,95.41,1628.88,11621.7,46637.25,115627.25,19102.49,111486.1,0.0,13220.49,1882.32,495.82,114.31,5075.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1966.88,1966.88,31247.5,31247.5,0.0,33214.38,20481.83,5967.29,6226.58,1574.12,34249.82,17721.37,12509.54,26942.87,1831.0,59004.78,126468.98,56687.98,262.93,9108.09,396.62,0.21,66455.83,10849.48,0.0,5442.94,2657.5,85405.75,5208.54,20421.06,5164.34,115.78,590.58,9562.93,41063.23,126468.98,10828.22,110194.67,0.0,15167.55,1882.32,221.23,66.63,5208.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,2092.91,2092.91,51595.15,51595.15,856.49,54544.55,17032.84,4471.55,8209.92,1600.51,31314.82,4232.81,16245.3,32408.09,1858.92,54745.12,140604.49,63526.5,409.7,7094.78,357.6,0.05,71388.63,10889.82,0.0,4927.57,2436.17,89642.19,6794.27,26756.75,7827.47,7053.49,137.9,2392.42,50962.3,140604.49,9852.33,75768.42,0.0,6615.55,1882.32,328.1,95.72,6794.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,2129.45,2129.45,47540.33,47540.33,0.0,49669.78,15481.97,4882.7,8749.45,186.59,29300.71,8641.12,30834.68,29184.74,2881.53,71542.07,150512.56,68751.37,743.25,3312.69,17.27,0.03,72824.61,15794.55,0.0,4555.86,2641.4,95816.42,4442.27,36307.06,9738.32,834.49,135.99,3238.01,54696.14,150512.56,8516.7,144104.55,0.0,14830.89,1882.32,637.33,120.81,4442.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,2129.45,2129.45,49866.89,49866.89,0.0,51996.34,19441.6,7068.31,10246.15,178.53,36934.59,16413.2,24010.84,28766.31,2682.7,71873.05,160803.98,84460.25,2135.97,5645.05,28.33,0.01,92269.61,9595.21,0.0,1520.57,2020.58,105405.97,4277.14,38064.7,6721.86,2120.44,142.62,4071.25,55398.01,160803.98,12223.06,231848.17,0.0,15708.29,1882.32,673.18,127.31,4277.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,2136.29,2136.29,72538.51,72538.51,0.0,74674.8,8489.83,6670.63,10741.07,183.34,26084.87,10277.06,28293.42,30687.44,2975.38,72233.3,172992.97,84714.91,2022.54,8679.72,101.77,0.09,95519.03,10167.35,0.0,903.78,2558.96,109149.12,4290.67,42835.05,8328.17,4490.64,136.91,3762.41,63843.85,172992.97,12332.11,206913.77,0.0,13011.82,1882.32,1605.3,173.21,4290.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,4272.58,4272.58,76687.51,76687.51,0.0,80960.09,2160.63,6540.87,11179.6,189.4,20070.5,21117.09,30621.92,32943.78,2281.16,86963.95,187994.54,88512.83,784.34,13240.29,0.0,0.0,102537.46,10753.64,226.43,912.6,2034.42,116464.55,3663.07,45263.4,9322.96,9382.88,141.86,3755.82,71529.99,187994.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
