Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-06-30,1078.27,1078.27,200.36,0.0,592.41,42.19,23.82,36.59,182.9,6.96,189.86,26.37,163.49,0.0,163.49,43.49,120.0,120.0,23.5,5.11,5.11,0.0,0.0,0.0,0.0,0.0
2017-09-30,1236.84,1236.84,3.2,0.0,1007.08,45.59,23.66,37.25,120.06,3.74,123.8,12.71,111.09,0.0,111.09,28.7,82.39,82.39,23.5,3.51,3.51,0.0,0.0,0.0,0.0,0.0
2017-12-31,1001.91,1001.91,944.17,0.0,-175.91,53.9,24.42,70.34,84.99,5.59,90.58,0.81,89.77,0.0,89.77,28.35,61.42,61.42,23.5,2.61,2.61,0.0,0.0,0.0,0.0,0.0
2018-03-31,1025.52,1025.52,1917.15,0.0,-1013.83,62.32,23.32,68.07,-31.51,11.49,-20.02,12.14,-32.16,0.0,-32.16,10.53,-42.69,-42.69,22.84,-1.82,-1.82,0.0,0.0,0.0,0.0,0.0
2018-06-30,1002.54,1002.54,768.53,0.0,-10.94,50.23,23.29,65.34,106.09,5.57,111.66,16.53,95.13,0.0,95.13,21.55,73.58,73.58,22.84,3.22,3.22,0.0,0.0,0.0,0.0,0.0
2018-09-30,1014.99,1014.99,20.83,0.0,732.63,54.1,23.61,66.31,117.51,7.7,125.21,8.34,116.87,0.0,116.87,25.95,90.92,90.92,22.84,3.98,3.98,0.0,0.0,0.0,0.0,0.0
2018-12-31,940.91,940.91,902.31,0.0,-257.68,58.83,25.39,77.29,134.77,21.77,156.54,2.32,154.22,0.0,154.22,33.9,120.32,120.32,22.84,5.27,5.27,0.0,0.0,0.0,0.0,0.0
2019-03-31,1327.34,1327.34,1903.74,0.0,-1002.38,67.3,23.56,100.26,234.86,7.7,242.56,13.75,228.81,0.0,228.81,-57.01,285.82,285.82,22.84,12.51,12.51,0.0,0.0,0.0,0.0,0.0
2019-06-30,948.5,948.5,574.98,0.0,86.05,57.57,24.26,54.03,151.61,4.82,156.43,22.67,133.76,0.0,133.76,27.09,106.67,106.67,22.0,4.71,4.71,0.0,0.0,0.0,0.0,0.0
2019-09-30,856.97,856.97,18.5,0.0,567.54,57.72,24.82,58.66,129.73,5.67,135.4,16.64,118.76,0.0,118.76,21.03,97.73,97.73,22.0,4.44,4.44,0.0,0.0,0.0,0.0,0.0
2019-12-31,1195.78,1195.78,900.68,0.0,42.75,65.94,24.98,76.2,85.23,6.82,92.05,7.55,84.5,0.0,84.5,14.45,70.05,70.05,22.0,3.18,3.18,0.0,0.0,0.0,0.0,0.0
2020-03-31,1740.05,1740.05,1970.0,0.0,-659.0,72.77,27.36,114.95,213.98,21.24,235.22,17.31,217.91,0.0,217.91,-16.93,234.84,234.84,22.0,10.67,10.67,0.0,0.0,0.0,0.0,0.0
2020-06-30,1430.34,1430.34,670.89,0.0,404.54,64.19,27.8,73.26,189.65,3.33,192.98,15.61,177.37,0.0,177.37,42.8,134.57,134.57,22.0,6.12,6.12,0.0,0.0,0.0,0.0,0.0
2020-09-30,1289.8,1289.8,54.2,0.0,974.51,64.76,28.17,68.58,99.57,4.57,104.14,9.03,95.12,0.0,95.12,20.14,74.97,74.97,21.0,3.51,3.51,0.0,0.0,0.0,0.0,0.0
2020-12-31,1072.17,1072.17,891.82,0.0,-1.48,73.1,28.14,72.33,8.26,11.13,19.39,5.03,14.36,0.0,14.36,-8.04,22.4,22.4,21.0,1.07,1.07,0.0,0.0,0.0,0.0,0.0
2021-03-31,1019.36,1019.36,1894.94,0.0,-1433.41,79.6,27.77,145.98,304.47,14.42,318.89,9.62,309.27,0.0,309.27,71.44,237.83,237.83,21.0,11.33,11.33,0.0,0.0,0.0,0.0,0.0
2021-06-30,1140.44,1140.44,192.52,0.0,659.49,65.62,29.31,88.78,104.73,5.21,109.94,13.11,96.83,0.0,96.83,23.8,73.03,73.03,21.0,3.48,3.48,0.0,0.0,0.0,0.0,0.0
2021-09-30,1213.83,1213.83,43.25,0.0,888.67,70.75,28.16,76.32,106.69,4.4,111.09,6.23,104.86,0.0,104.86,23.28,81.58,81.58,20.51,3.89,3.89,0.0,0.0,0.0,0.0,0.0
2021-12-31,1212.15,1212.15,935.29,0.0,8.46,82.52,27.99,86.1,71.8,26.53,98.33,3.74,94.59,0.0,94.59,23.49,71.1,71.1,20.4,3.48,3.48,0.0,0.0,0.0,0.0,0.0
2022-03-31,1279.61,1279.61,2090.68,0.0,-1362.2,88.92,28.41,131.17,302.62,11.76,314.39,7.78,306.6,52.74,359.34,70.39,288.96,288.96,20.4,14.16,14.16,0.0,0.0,0.0,0.0,0.0
2022-06-30,1080.08,1080.08,203.04,0.0,687.32,73.95,28.21,71.35,16.2,14.51,30.71,13.84,16.86,0.0,16.86,5.25,11.62,11.62,20.4,0.57,0.57,0.0,0.0,0.0,0.0,0.0
2022-09-30,1113.1,1113.1,67.48,0.0,898.91,94.99,28.35,67.65,-44.28,11.73,-32.55,7.77,-40.32,0.0,-40.32,-9.04,-31.28,-31.28,20.4,-1.53,-1.53,0.0,0.0,0.0,0.0,0.0
2022-12-31,981.16,981.16,944.72,0.0,-231.06,93.83,32.76,93.99,46.91,20.07,66.97,5.89,61.08,0.0,61.08,16.68,44.41,44.41,20.4,2.18,2.18,0.0,0.0,0.0,0.0,0.0
2023-03-31,1491.53,1491.53,2204.15,0.0,-1365.33,101.01,40.17,147.51,364.0,16.49,380.49,21.14,359.34,0.0,359.34,108.55,250.79,250.79,20.17,12.33,12.33,0.0,0.0,0.0,0.0,0.0
2023-06-30,1389.62,1389.62,657.12,0.0,377.07,88.92,40.57,103.33,122.61,12.19,134.8,33.53,101.28,0.0,101.28,31.94,69.33,69.33,20.17,3.44,3.44,0.0,0.0,0.0,0.0,0.0
2023-09-30,1539.47,1539.47,168.69,0.0,1001.43,92.9,41.24,111.56,123.65,38.2,161.85,17.2,144.65,0.0,144.65,38.4,106.25,106.25,20.17,5.27,5.27,0.0,0.0,0.0,0.0,0.0
2023-12-31,1230.39,1230.39,1228.97,0.0,-332.79,109.02,41.97,111.8,71.42,19.3,90.72,7.92,82.8,0.0,82.8,22.49,60.31,60.31,20.17,2.99,2.99,0.0,0.0,0.0,0.0,0.0
2024-03-31,1434.26,1434.26,2525.05,0.0,-1708.61,107.72,42.58,165.38,302.14,4.3,306.45,24.99,281.46,0.0,281.46,84.14,197.32,197.32,20.17,9.78,9.78,0.0,0.0,0.0,0.0,0.0
2024-06-30,1421.6,1421.6,344.92,0.0,720.72,91.9,42.6,97.93,123.54,7.68,131.21,36.03,95.18,0.0,95.18,30.55,64.63,64.63,20.17,3.2,3.2,0.0,0.0,0.0,0.0,0.0
2024-09-30,1297.95,1297.95,16.18,4.81,1054.75,93.53,43.19,79.59,5.89,8.29,14.18,20.03,-5.85,0.0,-5.85,-2.34,-3.5,-3.5,20.17,-0.17,-0.17,0.0,0.0,0.0,0.0,0.0
2024-12-31,1192.15,1192.15,1382.95,0.0,-534.95,106.19,43.62,114.18,80.16,6.77,86.93,6.94,79.99,0.0,79.99,17.26,62.73,62.73,20.19,3.11,3.1,0.0,0.0,0.0,0.0,0.0
2025-03-31,1503.68,1503.68,2367.31,0.58,-1499.26,113.29,43.13,156.52,322.11,9.42,331.53,30.45,301.08,0.0,301.08,81.06,220.02,220.02,20.19,10.9,10.86,0.0,0.0,0.0,0.0,0.0
