Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Liabilities [Net],Intangible Assets Under Development,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2014-03-31,43.29,43.29,1206.88,1206.88,0.0,1250.17,741.76,227.12,32.68,1001.56,313.33,1162.72,269.25,37.41,1782.71,4034.44,508.98,17.1,792.14,1318.22,0.0,1.04,179.05,138.74,1637.05,1146.01,859.76,15.06,325.75,50.81,2397.39,4034.44,143.09,205.9,12.7,392.63,182.87,15.77,0.0,1536.7,1.45,683.3,44.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,43.29,43.29,1118.77,1118.77,0.0,1162.06,952.2,240.45,31.03,1223.68,648.0,914.97,186.96,32.2,1782.13,4167.87,1340.27,10.82,74.18,1425.27,0.0,0.0,140.42,132.26,1697.95,990.77,930.45,127.69,359.93,61.08,2469.92,4167.87,248.53,212.11,12.7,350.46,211.3,15.77,0.0,1268.89,2.3,836.82,25.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,43.29,43.29,1072.72,1072.72,0.0,1116.01,925.57,40.12,31.51,997.2,423.65,1105.79,100.59,33.32,1663.35,3776.56,1284.31,4.56,55.14,1344.01,0.0,0.0,0.0,203.76,1547.77,807.58,1042.34,3.17,0.0,375.7,2221.05,3776.56,143.97,0.0,0.0,0.0,0.0,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,43.29,43.29,1058.97,1058.97,0.0,1102.26,692.79,101.57,34.21,828.57,364.03,1182.88,361.5,35.31,1943.72,3874.55,1221.81,0.58,32.86,1255.25,0.0,0.0,0.0,152.75,1408.0,920.13,1068.82,25.1,0.0,452.5,2466.55,3874.55,122.49,0.0,0.0,0.0,0.0,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,43.29,43.29,1300.59,1300.59,0.0,1343.88,320.68,61.8,50.33,432.81,173.43,1273.88,581.89,40.47,2069.67,3846.36,1116.92,0.43,27.48,1144.83,0.0,46.02,0.0,144.75,1335.6,1019.17,1092.35,8.62,0.0,390.62,2510.76,3846.36,138.1,247.04,0.0,0.0,684.75,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,43.29,43.29,1367.06,1367.06,2.54,1412.89,303.41,19.78,49.13,372.32,573.48,1267.59,188.99,36.2,2066.26,3851.47,956.08,0.9,42.24,999.22,0.0,63.9,21.4,156.82,1241.34,1212.63,1040.67,13.21,5.23,338.39,2610.13,3851.47,149.6,240.42,0.0,0.0,781.11,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,43.29,43.29,1339.52,1339.52,3.21,1386.02,147.11,128.64,58.44,334.19,334.98,2143.48,331.96,58.26,2868.68,4588.89,940.1,0.81,22.95,963.86,0.0,87.86,16.45,173.33,1241.5,1496.2,1366.86,80.93,4.07,399.33,3347.39,4588.89,474.16,201.67,0.0,0.0,363.61,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,43.29,43.29,1738.5,1738.5,4.36,1786.15,0.0,104.52,57.73,162.25,0.0,2671.86,440.94,82.91,3195.71,5144.11,811.05,6.05,53.29,870.39,0.0,21.69,14.1,185.12,1091.3,1536.39,2059.21,173.12,3.31,280.78,4052.81,5144.11,543.09,228.36,0.0,0.0,239.69,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,43.29,43.29,2292.79,2292.79,0.0,2336.08,0.0,94.36,45.17,139.53,0.0,3315.71,242.67,75.94,3634.32,6109.93,757.2,5.76,100.1,863.06,0.0,33.82,0.06,244.38,1141.32,1942.62,2621.31,126.22,0.06,278.4,4968.61,6109.93,555.6,303.72,0.0,0.0,322.15,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,43.29,43.29,2652.47,2652.47,5.42,2701.18,0.0,76.39,75.76,152.15,0.0,3372.96,289.77,48.57,3711.3,6564.63,789.75,3.14,18.77,811.66,0.0,39.49,0.06,251.16,1102.37,2217.22,2344.53,367.19,150.03,383.29,5462.26,6564.63,224.62,318.76,0.0,0.0,307.23,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,43.29,43.29,3176.79,3176.79,3.5,3223.58,0.0,112.64,70.21,182.85,0.0,3547.93,231.14,47.46,3826.53,7232.96,758.07,0.67,61.48,820.22,0.01,47.63,0.05,268.51,1136.42,2116.05,2521.93,624.28,545.05,289.23,6096.54,7232.96,249.24,341.54,0.0,0.0,307.27,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
