Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-03-31,1469.28,0.0,1469.28,692.67,17.58,-17.2,109.73,64.75,0.0,458.28,143.47,4.75,148.22,11.4,136.82,0.0,136.82,45.94,90.88,90.88,26.44,0.0,3.44,3.44,0.0,0.0,0.0,0.0,0.0
2018-06-30,1865.91,0.0,1865.91,889.15,31.32,-64.09,106.82,63.71,0.0,502.3,336.7,15.28,351.98,9.22,342.76,0.0,342.76,120.84,221.92,221.92,26.44,0.0,8.39,8.39,0.0,0.0,0.0,0.0,0.0
2018-09-30,1525.95,0.0,1525.95,647.47,53.09,-23.12,102.64,65.63,0.0,427.63,252.61,3.7,256.31,4.0,252.31,0.0,252.31,88.54,163.77,163.77,26.44,0.0,6.2,6.2,0.0,0.0,0.0,0.0,0.0
2018-12-31,1451.17,0.0,1451.17,604.23,32.72,40.3,110.88,66.54,0.0,415.16,181.34,2.1,183.44,6.2,177.24,0.0,177.24,68.07,109.17,109.17,26.44,0.0,4.13,4.13,0.0,0.0,0.0,0.0,0.0
2019-03-31,1629.4,0.0,1629.4,786.29,47.64,-27.56,123.52,63.9,0.0,528.28,107.33,10.62,117.95,11.78,106.17,0.0,106.17,38.25,67.92,67.92,26.44,0.0,2.57,2.57,0.0,0.0,0.0,0.0,0.0
2019-06-30,2048.53,0.0,2048.53,975.55,47.42,-5.82,123.1,69.21,0.0,579.34,259.73,3.16,262.89,7.68,255.21,0.0,255.21,90.67,164.54,164.54,26.44,0.0,6.22,6.22,0.0,0.0,0.0,0.0,0.0
2019-09-30,1578.57,0.0,1578.57,711.64,38.99,5.42,123.38,68.86,0.0,506.68,123.6,1.89,125.49,8.79,116.7,0.0,116.7,1.57,115.13,115.13,26.44,0.0,4.36,4.36,0.0,0.0,0.0,0.0,0.0
2019-12-31,1453.28,0.0,1453.28,633.82,52.64,1.26,125.42,73.53,0.0,419.39,147.22,3.45,150.67,9.89,140.78,0.0,140.78,34.41,106.37,106.37,26.44,0.0,4.02,4.02,0.0,0.0,0.0,0.0,0.0
2020-03-31,1424.17,0.0,1424.17,653.85,55.92,-10.41,127.87,73.37,0.0,464.69,58.88,0.61,59.49,4.76,54.73,0.0,54.73,13.54,41.19,41.19,26.44,0.0,1.56,1.56,0.0,0.0,0.0,0.0,0.0
2020-06-30,506.88,0.0,506.88,213.38,7.17,49.84,115.1,50.52,0.0,217.05,-146.18,1.41,-144.77,7.15,-151.92,0.0,-151.92,-37.63,-114.29,-114.29,26.44,0.0,-4.32,-4.32,0.0,0.0,0.0,0.0,0.0
2020-09-30,900.63,0.0,900.63,413.99,27.59,-11.63,109.85,61.22,0.0,320.4,-20.79,32.6,11.81,5.96,5.85,0.0,5.85,1.84,4.01,4.01,26.44,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2020-12-31,1289.74,0.0,1289.74,602.97,17.28,-25.32,124.13,57.84,0.0,397.23,115.61,4.62,120.23,5.34,114.89,55.0,169.89,43.52,126.37,126.37,26.44,0.0,4.78,4.78,0.0,0.0,0.0,0.0,0.0
2021-03-31,1543.48,0.0,1543.48,742.22,21.67,-22.84,133.21,62.27,0.0,407.94,199.01,11.57,210.58,4.22,206.36,-62.22,144.14,47.38,96.76,96.76,26.44,0.0,3.66,3.66,0.0,0.0,0.0,0.0,0.0
2021-06-30,1118.02,0.0,1118.02,515.45,42.48,19.67,113.46,55.15,0.0,331.54,40.27,6.09,46.36,3.86,42.5,0.0,42.5,11.66,30.84,30.84,26.44,0.0,1.17,1.17,0.0,0.0,0.0,0.0,0.0
2021-09-30,1426.19,0.0,1426.19,629.08,53.3,5.82,134.07,55.64,0.0,438.32,109.96,4.55,114.51,4.73,109.78,0.0,109.78,29.13,80.65,80.65,26.44,0.0,3.05,3.05,0.0,0.0,0.0,0.0,0.0
