Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-03-31,135.99,135.99,121.92,5.74,37.59,-29.25,8.18,-21.07,3.86,-24.93,0.0,-24.93,0.0,-24.93,0.0,-24.93,50.87,0.0,-2.47,-2.47,0.0,0.0,0.0,0.0,0.0
2017-06-30,123.1,123.1,93.51,5.58,44.81,-20.8,2.4,-18.4,4.11,-22.51,0.0,-22.51,0.0,-22.51,0.0,-22.51,50.9,0.0,-2.21,-2.21,0.0,0.0,0.0,0.0,0.0
2017-09-30,152.78,152.78,112.59,5.62,32.11,2.47,7.15,9.62,3.93,5.68,0.0,5.68,0.0,5.68,0.0,5.68,62.54,636.02,0.52,0.51,0.0,0.0,0.0,0.0,0.0
2017-12-31,178.11,178.11,125.27,6.15,34.01,12.67,8.26,20.93,3.07,17.86,0.0,17.86,0.32,17.54,0.0,17.54,62.56,0.0,1.52,1.49,0.0,0.0,0.0,0.0,0.0
2018-03-31,217.48,217.48,138.85,7.79,47.75,23.1,13.53,36.63,2.61,34.02,0.0,34.02,1.89,32.13,0.0,32.13,62.76,0.0,2.57,2.48,0.0,0.0,0.0,0.0,0.0
2018-06-30,194.16,194.16,131.2,7.96,36.87,18.14,41.36,59.51,3.08,56.43,0.0,56.43,-2.2,58.63,0.0,58.63,62.93,0.0,4.66,4.5,0.0,0.0,0.0,0.0,0.0
2018-09-30,253.04,253.04,156.99,8.5,44.22,43.34,10.61,53.94,3.41,50.53,0.0,50.53,0.0,50.53,0.0,50.53,65.58,0.0,3.97,3.83,0.0,0.0,0.0,0.0,0.0
2018-12-31,234.64,234.64,149.57,8.66,55.92,20.48,4.28,24.76,2.23,22.53,0.0,22.53,0.0,22.53,0.0,22.53,65.75,0.0,1.71,1.66,0.0,0.0,0.0,0.0,0.0
2019-03-31,248.91,248.91,187.41,9.82,40.76,10.91,5.25,16.16,2.69,13.47,0.0,13.47,7.92,5.56,0.0,5.56,65.89,0.0,0.42,0.41,0.0,0.0,0.0,0.0,0.0
2019-06-30,175.31,175.31,116.71,12.07,57.72,-11.2,8.87,-2.33,3.24,-5.56,5.06,-0.51,0.0,-0.51,0.0,-0.51,65.96,0.0,-0.04,-0.04,0.0,0.0,0.0,0.0,0.0
2019-09-30,180.6,180.6,128.29,11.89,57.81,-17.38,8.16,-9.22,4.1,-13.32,0.0,-13.32,0.0,-13.32,0.0,-13.32,66.1,0.0,-1.01,-1.01,0.0,0.0,0.0,0.0,0.0
2019-12-31,181.76,181.76,121.3,11.97,92.5,-44.02,11.85,-32.17,4.2,-36.37,0.0,-36.37,0.0,-36.37,0.0,-36.37,66.13,0.0,-2.75,-2.75,0.0,0.0,0.0,0.0,0.0
2020-03-31,203.67,203.67,95.37,12.62,62.66,33.02,1.69,34.71,4.27,30.44,0.0,30.44,11.53,18.92,0.0,18.92,66.17,0.0,1.43,1.42,0.0,0.0,0.0,0.0,0.0
2020-06-30,212.81,212.81,123.24,3.48,39.69,46.4,8.19,54.59,12.36,42.23,0.0,42.23,3.3,38.94,0.0,38.94,66.22,0.0,2.94,2.94,0.0,0.0,0.0,0.0,0.0
2020-09-30,238.76,238.76,122.1,1.99,53.46,61.2,2.75,63.96,12.91,51.05,0.0,51.05,5.05,46.0,0.0,46.0,66.27,0.0,3.47,3.42,0.0,0.0,0.0,0.0,0.0
2020-12-31,271.36,271.36,125.03,12.24,69.54,64.55,6.37,70.92,0.96,69.97,0.0,69.97,3.38,66.59,0.0,66.59,66.33,0.0,5.02,4.76,0.0,0.0,0.0,0.0,0.0
2021-03-31,280.3,280.3,123.4,12.51,86.55,57.85,2.55,60.4,1.07,59.33,0.0,59.33,3.6,55.73,0.0,55.73,66.49,0.0,4.2,4.09,0.0,0.0,0.0,0.0,0.0
2021-06-30,277.62,277.62,130.53,15.57,81.44,50.08,17.07,67.14,0.88,66.26,0.0,66.26,11.8,54.46,0.0,54.46,66.88,0.0,4.09,3.89,0.0,0.0,0.0,0.0,0.0
2021-09-30,313.27,313.27,138.7,17.18,84.65,72.74,4.48,77.22,0.77,76.45,0.0,76.45,20.24,56.21,0.0,56.21,67.06,0.0,4.23,4.03,0.0,0.0,0.0,0.0,0.0
2021-12-31,314.75,314.75,141.71,17.82,114.87,40.35,10.31,50.66,0.68,49.98,0.0,49.98,10.3,39.68,0.0,39.68,67.17,0.0,2.98,2.84,0.0,0.0,0.0,0.0,0.0
2022-03-31,349.37,349.37,147.31,18.47,122.16,61.44,10.89,72.33,0.64,71.69,0.0,71.69,19.95,51.74,0.0,51.74,67.28,0.0,3.88,3.71,0.0,0.0,0.0,0.0,0.0
2022-06-30,362.25,362.25,160.99,19.28,126.34,55.64,6.01,61.65,0.61,61.04,0.0,61.04,20.1,40.94,0.0,40.94,67.49,0.0,3.06,2.94,0.0,0.0,0.0,0.0,0.0
2022-09-30,348.11,348.11,168.89,19.81,142.32,17.1,8.4,25.5,0.56,24.93,0.0,24.93,7.99,16.94,0.0,16.94,67.71,0.0,1.26,1.22,0.0,0.0,0.0,0.0,0.0
2022-12-31,348.3,348.3,182.48,20.22,118.11,27.5,24.09,51.59,0.74,50.85,0.0,50.85,14.68,36.17,0.0,36.17,67.77,0.0,2.69,2.6,0.0,0.0,0.0,0.0,0.0
2023-03-31,411.45,411.45,198.26,20.77,137.3,55.12,10.64,65.76,0.28,65.48,0.0,65.48,25.53,39.94,0.0,39.94,67.86,0.0,2.97,2.84,0.0,0.0,0.0,0.0,0.0
2023-06-30,423.86,423.86,196.09,21.44,138.41,67.93,10.9,78.83,0.24,78.59,0.0,78.59,25.74,52.85,0.0,52.85,68.07,0.0,3.92,3.79,0.0,0.0,0.0,0.0,0.0
2023-09-30,407.72,407.72,201.75,22.46,142.01,41.5,10.12,51.62,0.22,51.4,0.0,51.4,15.52,35.88,0.0,35.88,68.26,0.0,2.65,2.56,0.0,0.0,0.0,0.0,0.0
2023-12-31,420.6,420.6,212.93,22.9,138.25,46.52,25.28,71.8,0.2,71.6,0.0,71.6,22.91,48.69,0.0,48.69,68.35,0.0,3.59,3.47,0.0,0.0,0.0,0.0,0.0
2024-03-31,426.76,426.76,228.77,22.46,129.03,46.52,17.18,63.69,0.17,63.52,0.0,63.52,22.83,40.69,-12.51,28.18,68.41,0.0,2.07,1.99,0.0,0.0,0.0,0.0,0.0
2024-06-30,385.35,385.35,230.56,23.56,83.35,47.88,13.5,61.38,0.53,60.85,0.0,60.85,14.93,45.92,0.0,45.92,68.62,0.0,3.37,3.24,0.0,0.0,0.0,0.0,0.0
2024-09-30,334.16,334.16,236.74,25.37,67.69,4.36,29.46,33.82,0.69,33.13,0.0,33.13,8.99,24.14,0.0,24.14,69.09,0.0,1.76,1.7,0.0,0.0,0.0,0.0,0.0
2024-12-31,386.7,386.7,235.63,26.5,89.68,34.88,12.16,47.04,0.57,46.47,0.0,46.47,12.3,34.17,0.0,34.17,69.32,0.0,2.49,2.4,0.0,0.0,0.0,0.0,0.0
2025-03-31,462.51,462.51,249.4,28.58,79.76,104.78,17.43,122.2,0.53,121.68,0.0,121.68,31.24,90.44,0.0,90.44,69.43,0.0,6.56,6.39,0.0,0.0,0.0,0.0,0.0
