Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,117.62,0.07,117.68,0.0,1.43,71.24,1.0,17.4,26.62,6.0,32.62,0.3,32.31,0.0,32.31,8.67,23.64,23.64,10.52,0.0,2.25,2.25,7.11,67.62,3.22,94.49,30.6
2015-09-30,118.61,0.11,118.72,0.0,0.0,73.87,0.93,20.06,23.86,5.86,29.72,0.14,29.58,0.0,29.58,7.15,22.43,22.43,10.52,0.0,2.13,2.13,7.11,67.62,3.22,94.49,30.6
2015-12-31,124.56,0.1,124.65,0.0,0.0,70.43,1.05,20.23,32.95,7.48,40.43,0.67,39.76,0.0,39.76,10.1,29.67,29.67,10.52,0.0,2.82,2.82,0.0,0.0,0.0,0.0,0.0
2016-03-31,143.55,0.2,143.75,0.0,0.0,70.89,1.39,23.53,47.93,10.04,57.97,0.98,56.99,0.0,56.99,15.28,41.71,41.71,10.52,0.0,3.97,3.97,0.0,0.0,0.0,0.0,0.0
2016-06-30,139.08,0.33,139.41,3.5,0.0,74.53,1.07,18.46,41.85,4.52,46.37,2.85,43.51,0.97,44.49,9.71,34.77,34.77,10.52,0.0,3.31,3.31,0.0,0.0,0.0,0.0,0.0
2016-09-30,153.78,0.35,154.13,14.17,0.0,76.6,1.12,21.98,40.26,4.84,45.1,0.15,44.95,0.0,44.95,11.83,33.11,33.11,10.52,0.0,3.15,3.15,0.0,0.0,0.0,0.0,0.0
2016-12-31,148.6,0.46,149.05,3.66,0.0,79.35,1.16,20.96,43.92,6.36,50.28,0.83,49.45,0.0,49.45,12.27,37.18,37.18,10.52,0.0,3.54,3.54,0.0,0.0,0.0,0.0,0.0
2017-03-31,150.01,0.0,150.01,5.21,0.0,76.33,1.22,31.97,35.29,6.07,41.36,0.16,41.2,4.68,45.88,13.71,32.17,32.17,10.52,0.0,3.06,3.06,0.0,0.0,0.0,0.0,0.0
2017-06-30,149.43,0.0,149.43,6.32,0.0,84.46,1.05,29.98,27.63,11.41,39.03,0.0,39.03,0.49,39.52,9.74,29.78,29.78,10.37,0.0,2.87,2.83,0.0,0.0,0.0,0.0,0.0
2017-09-30,179.16,0.0,179.16,15.01,0.0,94.13,1.25,28.63,40.14,12.29,52.43,0.14,52.29,0.0,52.29,12.96,39.33,39.33,10.37,0.0,3.79,3.74,0.0,0.0,0.0,0.0,0.0
2017-12-31,180.28,0.0,180.28,15.03,0.0,93.05,1.29,27.83,43.08,6.85,49.93,0.01,49.92,0.0,49.92,11.27,38.65,38.65,10.37,0.0,3.73,3.68,0.0,0.0,0.0,0.0,0.0
2018-03-31,179.62,0.0,179.62,8.56,0.0,92.24,1.41,31.85,45.56,10.98,56.53,0.02,56.51,0.0,56.51,13.0,43.51,43.51,10.38,0.0,4.19,4.18,0.0,0.0,0.0,0.0,0.0
2018-06-30,192.45,0.0,192.45,13.12,0.0,92.05,1.36,33.05,52.87,4.52,57.39,0.01,57.38,0.49,57.87,14.94,42.93,42.93,10.38,0.0,4.14,4.13,0.0,0.0,0.0,0.0,0.0
2018-09-30,205.83,0.0,205.83,10.73,0.0,104.05,1.56,38.47,51.02,12.87,63.89,0.05,63.84,0.0,63.84,17.8,46.04,46.04,10.38,481.05,4.43,4.43,0.0,0.0,0.0,0.0,0.0
2018-12-31,211.99,0.0,211.99,11.04,0.0,103.45,1.6,37.19,58.71,-2.59,56.12,0.02,56.1,0.0,56.1,17.45,38.65,38.65,10.39,481.05,3.72,3.72,0.0,0.0,0.0,0.0,0.0
2019-03-31,219.07,0.0,219.07,11.62,0.0,107.12,1.6,40.03,58.7,2.88,61.58,0.0,61.58,0.0,61.58,16.76,44.82,44.82,10.39,522.76,4.32,4.31,0.0,0.0,0.0,0.0,0.0
2019-06-30,208.77,0.0,208.77,14.8,0.0,111.22,5.03,33.01,44.71,10.13,54.84,2.77,52.07,0.0,52.07,14.91,37.16,37.16,10.39,522.76,3.58,3.58,0.0,0.0,0.0,0.0,0.0
2019-09-30,216.11,0.0,216.11,15.09,0.0,116.07,5.09,34.53,45.33,19.32,64.65,2.64,62.01,0.0,62.01,16.11,45.9,45.9,10.39,522.76,4.42,4.42,0.0,0.0,0.0,0.0,0.0
2019-12-31,230.18,0.0,230.18,18.03,0.0,118.98,5.21,31.54,56.42,12.23,68.65,2.59,66.06,0.0,66.06,16.93,49.13,49.13,10.39,522.76,4.73,4.73,0.0,0.0,0.0,0.0,0.0
2020-03-31,221.78,0.0,221.78,15.6,0.0,120.8,5.28,44.06,36.04,55.45,91.49,2.87,88.62,0.0,88.62,9.54,79.08,79.08,10.39,362.89,7.61,7.61,0.0,0.0,0.0,0.0,0.0
2020-06-30,182.15,0.0,182.15,15.16,0.0,93.1,4.8,19.77,49.32,-1.49,47.83,2.5,45.33,0.0,45.33,11.88,33.45,33.45,10.39,362.89,3.22,3.22,0.0,0.0,0.0,0.0,0.0
2020-09-30,209.14,0.0,209.14,16.03,0.0,99.47,4.76,19.24,69.64,1.77,71.41,2.44,68.97,0.0,68.97,16.84,52.13,52.13,10.39,362.89,5.02,5.02,0.0,0.0,0.0,0.0,0.0
2020-12-31,193.08,0.0,193.08,13.57,0.0,108.74,4.72,13.52,52.53,33.56,86.09,2.4,83.69,0.0,83.69,29.39,54.3,54.3,10.39,362.89,5.23,5.22,0.0,0.0,0.0,0.0,0.0
2021-03-31,197.03,0.0,197.03,15.97,0.0,112.03,4.62,20.68,43.73,10.96,54.69,2.38,52.31,0.0,52.31,13.16,39.15,39.15,10.39,519.13,3.77,3.77,0.0,0.0,0.0,0.0,0.0
2021-06-30,188.86,0.0,188.86,26.52,0.0,100.89,4.64,22.18,34.63,42.09,76.72,2.51,74.21,0.0,74.21,14.32,59.89,59.89,10.39,519.13,5.76,5.76,0.0,0.0,0.0,0.0,0.0
2021-09-30,189.04,0.0,189.04,27.73,0.0,95.13,4.25,24.79,37.14,64.13,101.27,2.13,99.14,0.0,99.14,11.75,87.39,87.39,10.39,0.0,8.41,8.41,0.0,0.0,0.0,0.0,0.0
2021-12-31,185.87,0.0,185.87,22.48,0.0,104.12,4.31,30.97,23.99,43.93,67.92,2.17,65.75,0.0,65.75,9.5,56.25,56.25,10.39,519.13,5.42,5.41,0.0,0.0,0.0,0.0,0.0
2022-03-31,194.37,0.0,194.37,17.95,0.0,114.87,4.37,28.22,28.96,14.1,43.06,1.96,41.1,0.0,41.1,9.47,31.63,31.63,10.39,561.36,3.04,3.04,0.0,0.0,0.0,0.0,0.0
2022-06-30,218.51,0.0,218.51,25.5,0.0,123.95,4.42,28.57,36.07,66.6,102.67,1.89,100.78,0.0,100.78,11.08,89.7,89.7,10.39,0.0,8.63,8.63,0.0,0.0,0.0,0.0,0.0
2022-09-30,237.19,0.0,237.19,30.5,0.0,127.21,4.52,31.26,43.7,1.26,44.96,1.81,43.15,0.0,43.15,12.18,30.97,30.97,13.86,0.0,2.23,2.23,0.0,0.0,0.0,0.0,0.0
2022-12-31,233.17,0.0,233.17,20.28,0.0,139.87,4.86,34.82,33.34,43.62,76.96,1.73,75.23,0.0,75.23,10.54,64.69,64.69,13.87,0.0,4.67,4.67,0.0,0.0,0.0,0.0,0.0
2023-03-31,231.98,0.0,231.98,26.08,0.0,152.47,4.71,50.39,-1.67,48.2,46.53,1.53,45.0,0.0,45.0,10.0,35.0,35.0,13.87,0.0,2.48,2.52,0.0,0.0,0.0,0.0,0.0
2023-06-30,234.87,0.0,234.87,29.44,-0.09,170.25,4.92,31.15,-0.8,6.46,5.66,1.22,4.44,0.0,4.44,0.73,3.71,3.71,13.87,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0
2023-09-30,240.17,0.0,240.17,16.31,0.08,168.7,5.43,36.87,12.78,162.97,175.75,1.07,174.68,0.0,174.68,6.21,168.47,168.47,13.87,0.0,12.14,12.12,0.0,0.0,0.0,0.0,0.0
2023-12-31,242.76,0.0,242.76,14.57,0.01,166.59,5.28,32.27,24.04,120.42,144.46,1.22,143.24,0.0,143.24,8.3,134.94,134.94,27.75,0.0,4.86,4.85,0.0,0.0,0.0,0.0,0.0
2024-03-31,232.5,0.0,232.5,15.07,0.0,164.7,5.5,32.6,14.63,44.18,58.81,1.41,57.4,0.0,57.4,5.73,51.67,51.67,27.75,0.0,1.86,1.86,0.0,0.0,0.0,0.0,0.0
2024-06-30,248.95,0.0,248.95,0.77,0.0,176.97,5.22,32.88,33.11,4.25,37.36,1.08,36.28,0.0,36.28,10.97,25.31,25.31,27.76,0.0,0.91,0.91,0.0,0.0,0.0,0.0,0.0
2024-09-30,235.26,0.0,235.26,0.6,0.0,189.05,5.36,37.3,2.95,164.18,167.13,1.1,166.03,0.0,166.03,1.49,164.54,164.54,27.76,0.0,5.93,5.92,0.0,0.0,0.0,0.0,0.0
2024-12-31,241.43,0.0,241.43,0.41,0.0,201.04,5.42,34.59,-0.03,9.47,9.44,1.43,8.01,0.0,8.01,2.09,5.92,5.92,27.76,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0
2025-03-31,265.67,0.0,265.67,0.35,-0.02,208.44,5.29,32.36,19.25,6.28,25.53,1.08,24.45,0.0,24.45,6.45,18.0,18.0,27.76,775.54,0.65,0.65,0.0,0.0,0.0,0.0,0.0
