Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Preference Share Capital,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods
2014-03-31,10.2,20.2,151.13,151.13,171.33,49.11,19.7,2.96,0.0,71.77,113.74,113.55,107.01,5.53,339.83,582.92,190.73,6.42,54.29,0.0,251.43,71.33,5.75,4.31,332.82,73.95,143.9,2.66,29.6,250.11,582.92,41.3,6.78,11.88,0.0,3.4,71.33,10.0,0.0,33.28,0.02,12.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,20.4,30.4,161.51,161.51,191.91,97.84,21.73,1.75,0.0,121.32,130.63,103.53,60.56,14.62,309.35,622.58,238.77,47.99,6.34,0.0,293.1,71.33,2.11,1.08,367.62,89.02,123.84,4.02,38.08,254.96,622.58,26.73,9.11,8.18,0.0,11.9,71.33,10.0,0.0,17.17,0.79,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,20.4,30.4,177.47,177.47,207.87,77.87,21.87,0.44,0.0,100.18,129.61,206.14,65.19,9.91,410.85,718.89,234.74,50.95,6.91,17.28,309.87,71.33,14.67,0.0,395.87,157.59,121.53,2.98,26.09,323.02,718.89,50.98,3.79,2.82,0.0,11.9,71.33,10.0,14.83,12.66,0.89,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,20.4,20.4,168.86,168.86,189.25,122.43,9.34,11.52,2.03,145.32,132.16,175.86,73.15,1.35,382.51,717.09,225.66,53.04,3.87,30.62,313.19,71.34,1.88,6.69,393.1,121.52,157.63,0.59,44.25,323.99,717.09,28.69,0.0,0.0,0.0,11.9,71.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,20.4,20.4,191.15,191.15,211.54,152.59,14.23,7.1,2.8,176.71,154.54,152.82,92.22,1.04,400.62,788.87,214.2,50.79,21.47,41.14,327.61,76.14,2.01,14.99,420.74,143.11,189.88,0.98,34.16,368.13,788.87,33.8,11.94,0.0,8.46,11.9,76.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,20.4,20.4,237.84,237.84,258.24,132.26,23.84,8.4,3.96,168.46,222.97,232.65,189.23,1.46,646.31,1073.0,237.14,80.6,33.14,27.11,378.0,87.54,10.92,10.03,486.49,144.75,365.78,0.76,75.22,586.51,1073.0,43.17,20.95,0.0,10.45,11.9,87.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,23.65,23.65,674.06,674.06,697.71,196.72,87.91,10.61,10.68,305.91,349.15,400.63,247.08,2.7,999.55,2003.18,771.89,89.23,40.81,49.17,951.11,47.66,16.55,25.85,1041.17,295.55,494.59,22.43,149.44,962.01,2003.18,118.15,72.86,0.0,24.78,11.9,47.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,23.65,23.65,718.23,718.23,741.88,228.19,102.29,3.85,11.84,346.16,481.67,583.19,292.97,3.9,1361.72,2449.76,758.25,112.45,81.03,27.42,979.15,76.0,56.32,27.93,1139.39,354.45,710.74,17.42,227.75,1310.37,2449.76,145.81,228.99,0.0,30.48,11.9,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,23.65,23.65,866.99,866.99,890.64,208.32,96.07,17.94,15.99,338.32,864.62,551.19,252.65,3.93,1672.39,2901.35,755.32,170.16,49.43,0.27,975.18,151.66,72.38,37.7,1236.92,404.11,618.91,27.47,613.95,1664.43,2901.35,552.22,82.8,0.0,26.47,11.9,151.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,23.65,23.65,976.65,976.65,1000.3,258.69,90.22,24.14,20.47,393.52,1004.51,423.43,227.75,4.44,1660.13,3053.95,769.61,209.21,8.97,1.4,989.19,228.72,66.57,27.63,1312.1,404.65,807.86,23.47,505.87,1741.85,3053.95,999.32,117.35,0.0,18.83,11.9,228.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,23.65,23.65,1021.16,1021.16,1044.81,199.31,86.41,21.34,26.2,333.26,1031.29,646.17,222.35,5.88,1905.7,3283.77,773.04,185.5,31.78,39.99,1030.3,299.58,178.82,31.34,1540.04,635.9,736.34,38.63,332.86,1743.73,3283.77,1780.52,168.72,0.0,10.11,11.9,299.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,23.65,23.65,1136.35,1136.35,1160.0,429.56,75.79,18.8,24.05,548.2,858.69,581.04,299.33,6.19,1745.25,3453.45,784.92,185.2,8.61,0.0,978.73,300.24,201.63,43.33,1523.93,549.96,976.88,160.46,242.22,1929.52,3453.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
