Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,142.43,9.51,151.94,106.83,-5.87,17.81,5.79,14.08,13.3,1.25,14.55,7.0,7.55,0.0,7.55,1.79,5.76,5.76,20.4,1.36,1.36,1.55,38.02,2.53,100.0,61.98
2015-09-30,138.86,8.65,147.51,102.29,-4.59,18.58,5.75,14.41,11.07,1.28,12.35,7.43,4.92,0.0,4.92,-3.87,8.79,8.79,20.4,2.1,2.1,1.55,38.03,2.53,100.0,61.97
2015-12-31,116.37,7.47,123.84,104.18,-25.15,15.94,5.48,13.94,9.45,1.73,11.18,7.08,4.1,0.0,4.1,0.78,3.32,3.32,20.4,0.76,0.76,0.0,0.0,0.0,0.0,0.0
2016-03-31,135.76,7.89,143.65,112.76,-18.1,19.3,3.98,17.58,8.13,6.96,15.09,6.89,8.2,0.0,8.2,1.43,6.77,6.77,20.4,1.61,1.61,0.0,0.0,0.0,0.0,0.0
2016-06-30,166.47,9.11,175.58,110.16,14.32,19.29,5.56,15.79,10.46,0.57,11.03,7.12,3.91,11.05,14.96,1.35,13.61,13.61,20.4,3.23,3.23,0.0,0.0,0.0,0.0,0.0
2016-09-30,153.59,8.71,162.3,110.68,-4.08,20.03,5.63,18.72,11.32,4.83,16.15,6.7,9.45,0.0,9.45,-0.11,9.56,9.56,20.4,2.28,2.28,0.0,0.0,0.0,0.0,0.0
2016-12-31,161.6,10.5,172.1,117.38,-0.11,20.06,5.86,14.89,14.02,3.45,17.47,6.41,11.06,0.0,11.06,2.21,8.85,8.85,20.4,2.16,2.16,0.0,0.0,0.0,0.0,0.0
2017-03-31,187.99,0.0,187.99,118.84,9.0,19.29,6.24,17.04,17.58,2.02,19.6,5.69,13.91,0.0,13.91,5.73,8.18,8.18,20.4,1.95,1.95,0.0,0.0,0.0,0.0,0.0
2017-06-30,150.57,0.0,150.57,106.04,-5.81,19.12,6.25,15.33,9.64,4.18,13.82,7.7,6.12,0.0,6.12,0.89,5.23,5.23,20.4,1.28,1.28,0.0,0.0,0.0,0.0,0.0
2017-09-30,211.6,0.0,211.6,139.05,6.38,22.72,6.29,17.23,19.93,3.35,23.28,6.06,17.22,0.0,17.22,6.15,11.07,11.07,20.4,2.72,2.72,0.0,0.0,0.0,0.0,0.0
2017-12-31,190.59,0.0,190.59,134.72,-6.72,21.71,6.2,18.46,16.22,2.61,18.83,6.36,12.47,0.0,12.47,4.22,8.25,8.25,20.4,2.02,2.02,0.0,0.0,0.0,0.0,0.0
2018-03-31,213.02,0.0,213.02,144.62,1.98,21.41,6.29,20.93,17.79,0.66,18.45,6.88,11.57,0.0,11.57,4.02,7.55,7.55,20.4,1.85,1.85,0.0,0.0,0.0,0.0,0.0
2018-06-30,215.42,0.0,215.42,150.51,-3.51,22.61,6.76,20.63,18.42,5.0,23.42,7.7,15.72,0.0,15.72,5.49,10.23,10.23,20.4,2.51,2.51,0.0,0.0,0.0,0.0,0.0
2018-09-30,252.93,0.0,252.93,157.74,20.6,22.75,7.38,21.72,22.74,4.77,27.51,8.17,19.34,0.0,19.34,6.76,12.58,12.58,20.4,3.08,3.08,0.0,0.0,0.0,0.0,0.0
2018-12-31,238.65,0.0,238.65,167.9,-2.72,24.5,7.55,21.4,20.02,6.57,26.59,8.13,18.46,0.0,18.46,6.44,12.02,12.02,20.4,2.94,2.94,0.0,0.0,0.0,0.0,0.0
2019-03-31,601.27,0.0,601.27,406.79,23.56,54.93,20.06,48.8,47.13,7.47,54.6,15.25,39.35,0.0,39.35,12.29,27.06,27.06,23.65,5.72,5.72,0.0,0.0,0.0,0.0,0.0
2019-06-30,234.1,0.0,234.1,151.88,8.65,24.95,7.88,20.07,20.67,3.49,24.16,8.61,15.55,0.0,15.55,5.43,10.12,10.12,20.4,2.48,2.48,0.0,0.0,0.0,0.0,0.0
2019-09-30,207.31,0.0,207.31,132.84,7.74,22.26,8.28,18.4,17.79,3.75,21.54,9.6,11.94,0.0,11.94,4.17,7.77,7.77,20.4,1.91,1.91,0.0,0.0,0.0,0.0,0.0
2019-12-31,467.04,0.0,467.04,337.04,-15.25,48.14,18.53,40.37,38.21,3.29,41.5,15.58,25.92,0.0,25.92,9.48,16.44,16.44,23.65,3.48,3.48,0.0,0.0,0.0,0.0,0.0
2020-03-31,475.21,0.0,475.21,374.72,-42.42,48.8,17.74,39.12,37.25,3.69,40.94,15.62,25.32,0.0,25.32,8.86,16.46,16.46,23.65,3.48,3.48,0.0,0.0,0.0,0.0,0.0
2020-06-30,129.08,0.0,129.08,82.96,8.09,32.03,16.12,13.85,-23.97,1.45,-22.52,12.59,-35.11,0.0,-35.11,-11.9,-23.2,-23.2,23.65,-4.91,-4.91,0.0,0.0,0.0,0.0,0.0
2020-09-30,517.35,0.0,517.35,375.88,-9.72,48.87,17.51,40.88,43.93,3.2,47.13,13.69,33.44,0.0,33.44,11.32,22.12,22.12,23.65,4.68,4.68,0.0,0.0,0.0,0.0,0.0
2020-12-31,580.48,0.0,580.48,415.18,-15.04,58.91,20.82,57.12,43.49,3.88,47.37,14.8,32.57,0.0,32.57,11.34,21.23,21.23,23.65,4.49,4.49,0.0,0.0,0.0,0.0,0.0
2021-03-31,738.67,0.0,738.67,532.18,-14.88,61.64,21.12,76.4,62.21,4.5,66.71,15.56,51.15,0.0,51.15,18.37,32.78,32.78,23.65,6.93,6.93,0.0,0.0,0.0,0.0,0.0
2021-06-30,545.68,0.0,545.68,363.3,16.89,61.25,20.04,47.68,36.53,3.87,40.4,18.29,22.11,0.0,22.11,8.21,13.9,13.9,23.65,2.94,2.94,0.0,0.0,0.0,0.0,0.0
2021-09-30,755.89,0.0,755.89,558.95,-8.24,67.22,21.11,60.28,56.57,5.58,62.15,19.93,42.22,0.0,42.22,16.61,25.61,25.61,23.65,5.41,5.41,0.0,0.0,0.0,0.0,0.0
2021-12-31,811.48,0.0,811.48,615.19,-15.8,71.26,21.73,60.25,58.85,9.09,67.94,18.54,49.4,0.0,49.4,16.98,32.42,32.42,23.65,6.85,6.85,0.0,0.0,0.0,0.0,0.0
2022-03-31,1055.1,0.0,1055.1,750.42,16.34,92.71,22.33,86.56,86.74,5.69,92.43,18.6,73.83,0.0,73.83,-11.15,84.98,84.98,23.65,7.19,7.19,0.0,0.0,0.0,0.0,0.0
2022-06-30,848.64,0.0,848.64,612.1,-1.9,86.88,24.2,75.21,52.15,5.18,57.33,20.7,36.63,0.0,36.63,9.52,27.11,27.11,23.65,2.29,2.29,0.0,0.0,0.0,0.0,0.0
2022-09-30,1010.21,0.0,1010.21,749.39,-7.87,91.98,25.36,85.25,66.1,11.27,77.37,25.74,51.63,0.0,51.63,13.43,38.2,38.2,23.65,3.23,3.23,0.0,0.0,0.0,0.0,0.0
2022-12-31,926.52,0.0,926.52,656.1,10.99,82.32,25.23,89.01,62.87,9.79,72.66,31.55,41.11,0.0,41.11,11.62,29.49,29.49,23.65,2.49,2.49,0.0,0.0,0.0,0.0,0.0
2023-03-31,963.88,0.0,963.88,713.26,-10.93,89.54,25.61,90.09,56.31,11.66,67.97,31.37,36.6,0.0,36.6,9.79,26.81,26.81,23.65,2.27,2.27,0.0,0.0,0.0,0.0,0.0
2023-06-30,843.78,0.0,843.78,597.26,-0.43,88.21,27.12,80.02,51.6,7.73,59.33,33.31,26.02,0.0,26.02,6.59,19.43,19.43,23.65,1.64,1.64,0.0,0.0,0.0,0.0,0.0
2023-09-30,807.57,0.0,807.57,581.78,-44.44,96.34,26.75,107.79,39.35,7.64,46.99,32.53,14.46,0.0,14.46,3.92,10.54,10.54,23.65,0.89,0.89,0.0,0.0,0.0,0.0,0.0
2023-12-31,1260.36,0.0,1260.36,1032.44,-32.67,88.53,27.45,83.45,61.16,3.46,64.62,35.89,28.73,0.0,28.73,8.0,20.73,20.73,23.65,1.75,1.75,0.0,0.0,0.0,0.0,0.0
2024-03-31,1331.83,0.0,1331.83,1214.42,-122.69,88.14,28.17,86.47,37.32,7.9,45.22,32.3,12.92,0.0,12.92,2.79,10.13,10.13,23.65,0.86,0.86,0.0,0.0,0.0,0.0,0.0
2024-06-30,1054.39,0.0,1054.39,752.55,26.06,98.2,28.43,80.05,69.1,8.8,77.9,32.73,45.17,0.0,45.17,11.25,33.92,33.92,23.65,2.87,2.87,0.0,0.0,0.0,0.0,0.0
2024-09-30,1099.64,0.0,1099.64,794.76,30.25,104.3,28.59,83.46,58.28,18.79,77.07,38.28,38.79,0.0,38.79,8.37,30.42,30.42,23.65,2.57,2.57,0.0,0.0,0.0,0.0,0.0
2024-12-31,1277.4,0.0,1277.4,972.28,7.58,101.76,29.38,93.35,73.05,16.36,89.41,47.78,41.63,0.0,41.63,11.28,30.35,30.35,23.65,2.57,2.57,0.0,0.0,0.0,0.0,0.0
2025-03-31,1346.11,0.0,1346.11,1094.02,-49.5,101.0,28.83,89.34,82.42,15.9,98.32,44.03,54.29,0.0,54.29,15.0,39.29,39.29,23.65,1.66,1.66,0.0,0.0,0.0,0.0,0.0
