Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Short Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,35.49,35.49,548.86,548.86,0.0,584.36,9.17,0.0,9.63,18.95,160.47,188.57,190.35,539.4,1142.7,235.42,3.79,1.56,0.0,0.0,240.77,119.31,0.0,12.35,10.0,382.43,86.02,181.64,250.53,28.5,213.57,0.0,760.27,1142.7,47.94,30.99,1.0,363.54,0.94,26.95,6.01,114.31,88.68,0.0,0.15,16.59,26.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,35.49,35.49,579.92,579.92,0.0,615.42,0.85,0.0,11.78,12.84,145.18,209.12,100.35,454.65,1082.91,212.59,2.43,1.39,0.0,0.0,216.42,141.22,0.0,12.0,0.0,369.63,147.93,196.98,203.03,72.86,92.49,0.0,713.28,1082.91,34.28,28.94,0.73,336.38,0.0,26.95,10.11,131.21,151.58,0.0,0.21,11.46,41.79,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,35.59,35.59,615.41,615.41,0.0,651.01,0.0,0.0,12.52,12.64,166.61,215.93,15.76,398.3,1061.95,198.35,2.71,0.74,0.0,0.0,201.8,176.96,5.1,16.89,0.0,400.76,115.95,150.11,290.97,59.53,44.63,0.0,661.19,1061.95,92.64,41.29,0.93,418.38,0.0,26.95,10.11,166.96,121.65,0.0,0.12,23.17,32.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,35.89,35.89,678.99,678.99,0.0,714.88,1.99,0.0,15.08,17.16,160.09,185.66,17.18,362.94,1094.98,172.11,1.82,31.46,0.0,13.69,219.08,166.96,0.0,3.77,20.33,410.13,134.33,63.62,218.16,61.27,0.02,207.45,684.84,1094.98,0.0,70.6,0.0,0.0,144.0,26.95,0.0,166.96,0.0,134.33,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,36.19,36.19,687.08,687.08,0.0,723.27,0.0,0.0,15.22,15.26,133.98,170.25,7.63,311.86,1050.38,201.39,0.97,4.17,0.0,13.69,220.22,177.32,0.02,4.22,2.22,404.01,188.87,47.17,185.23,68.72,0.07,156.31,646.38,1050.38,115.07,60.0,0.0,0.0,340.4,26.95,0.0,177.32,0.0,188.87,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,36.53,36.53,699.64,699.64,0.0,736.17,0.0,0.0,15.03,15.03,189.02,215.08,11.38,415.47,1166.67,194.96,0.81,2.23,0.0,13.69,211.68,212.13,5.38,4.05,23.64,456.89,162.4,104.19,227.76,54.77,0.16,160.49,709.78,1166.67,80.9,97.7,0.0,0.0,274.2,26.95,186.82,187.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,36.63,36.63,667.72,667.72,0.0,704.35,0.0,13.89,16.16,30.05,149.25,173.38,5.69,328.31,1062.72,196.25,0.76,2.08,0.0,13.69,212.79,197.37,12.64,4.95,8.26,436.01,115.01,72.86,265.72,23.1,0.01,150.0,626.7,1062.72,83.38,80.4,0.0,0.0,368.7,26.95,139.36,172.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,36.65,36.65,738.49,738.49,1.86,776.99,0.0,11.32,14.4,25.72,290.82,351.36,23.19,665.37,1468.08,186.46,0.59,0.61,0.0,13.69,201.35,197.37,7.5,5.96,4.8,416.99,277.76,89.45,372.73,97.18,0.0,213.98,1051.09,1468.08,83.02,95.4,0.0,0.0,312.7,26.97,318.48,157.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,36.74,36.74,869.69,869.69,0.02,906.45,3.03,12.61,15.46,31.11,369.13,734.75,29.32,1133.2,2070.76,187.51,1.0,1.43,0.67,13.69,204.3,222.09,0.0,0.0,10.17,436.55,390.63,304.8,416.94,105.98,0.0,415.86,1634.2,2070.76,133.11,171.1,0.0,0.0,339.5,26.97,455.88,156.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,36.74,36.74,1029.44,1029.44,0.0,1066.19,0.0,24.46,11.62,36.08,444.69,850.56,39.78,1335.02,2437.29,217.42,3.84,6.6,0.08,13.69,241.62,241.32,3.93,0.0,13.57,500.45,448.44,297.55,679.73,87.7,0.0,423.41,1936.84,2437.29,36.92,289.6,0.0,0.0,520.9,26.97,554.68,156.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,36.76,36.76,1224.33,1224.33,0.0,1261.09,1.3,21.39,16.1,38.79,389.63,792.64,54.37,1236.64,2536.52,235.87,3.89,2.22,40.16,0.0,282.15,251.46,0.0,0.0,26.47,560.07,385.13,170.48,675.83,137.45,79.85,527.71,1976.45,2536.52,14.84,127.8,0.0,0.0,672.3,26.97,453.89,181.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,36.76,36.76,1377.14,1377.14,0.0,1413.91,3.01,30.52,17.07,50.59,373.58,926.95,18.97,1319.49,2783.99,236.52,57.38,13.41,0.0,0.0,307.31,216.77,0.0,156.75,28.21,709.04,346.42,220.6,429.93,112.44,22.07,943.49,2074.95,2783.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
