Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-09-30,532.54,0.0,532.54,0.0,54.99,32.78,389.49,55.28,3.8,59.08,20.6,38.48,-0.59,37.89,14.04,23.85,23.85,46.74,4.99,4.97,0.0,0.0,0.0,0.0,0.0
2017-12-31,547.85,0.0,547.85,0.0,60.49,33.44,392.09,61.83,2.21,64.04,21.13,42.91,0.0,42.91,14.63,28.28,28.28,46.74,6.09,6.05,0.0,0.0,0.0,0.0,0.0
2018-03-31,565.97,0.0,565.97,0.0,62.6,37.73,407.44,58.2,6.91,65.11,20.95,44.16,0.0,44.16,15.99,28.17,28.17,46.74,6.03,5.99,0.0,0.0,0.0,0.0,0.0
2018-06-30,680.43,0.0,680.43,0.0,72.18,37.66,477.09,93.5,3.93,97.43,20.77,76.66,0.0,76.66,26.96,49.7,49.7,46.74,10.53,10.57,0.0,0.0,0.0,0.0,0.0
2018-09-30,647.42,0.0,647.42,0.0,67.36,38.49,470.1,71.47,5.25,76.72,26.91,49.81,0.0,49.81,18.96,30.85,30.85,46.74,6.6,6.56,0.0,0.0,0.0,0.0,0.0
2018-12-31,694.94,0.0,694.94,0.0,75.88,42.24,484.23,92.59,13.53,106.12,31.96,74.16,0.0,74.16,28.29,45.87,45.87,46.74,9.81,9.75,0.0,0.0,0.0,0.0,0.0
2019-03-31,723.9,0.0,723.9,0.0,70.97,43.25,512.82,96.86,7.44,104.3,32.53,71.77,0.0,71.77,25.44,46.33,46.33,46.74,9.92,9.86,0.0,0.0,0.0,0.0,0.0
2019-06-30,752.65,0.0,752.65,0.0,87.32,108.87,426.56,129.9,5.83,135.73,116.56,19.17,0.0,19.17,6.93,12.24,12.24,46.77,2.62,2.6,0.0,0.0,0.0,0.0,0.0
2019-09-30,915.97,0.0,915.97,0.0,101.93,137.1,499.57,177.37,7.6,184.97,111.04,73.93,0.0,73.93,25.31,48.62,48.62,48.38,10.32,10.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,877.37,0.0,877.37,0.0,103.34,132.91,467.62,173.5,10.23,183.73,121.84,61.89,0.0,61.89,22.39,39.5,39.5,51.33,7.88,7.83,0.0,0.0,0.0,0.0,0.0
2020-03-31,623.51,0.0,623.51,0.0,73.4,139.24,381.92,28.95,18.44,47.39,115.62,-68.23,0.0,-68.23,7.39,-75.62,-75.62,51.35,-15.49,-15.49,0.0,0.0,0.0,0.0,0.0
2020-06-30,9.74,0.0,9.74,0.0,66.23,142.07,57.42,-255.98,41.99,-213.99,122.98,-336.97,0.0,-336.97,-115.72,-221.25,-221.25,51.35,-43.09,-43.09,0.0,0.0,0.0,0.0,0.0
2020-09-30,8.74,0.0,8.74,0.0,38.23,139.63,55.51,-224.63,71.57,-153.06,121.75,-274.81,0.0,-274.81,-94.17,-180.64,-180.64,55.17,-33.15,-33.15,0.0,0.0,0.0,0.0,0.0
2020-12-31,39.01,0.0,39.01,0.0,46.09,139.61,68.0,-214.69,276.29,61.6,125.9,-64.3,0.0,-64.3,-23.02,-41.28,-41.28,55.17,-6.78,-6.78,0.0,0.0,0.0,0.0,0.0
2021-03-31,168.23,0.0,168.23,0.0,56.87,142.18,166.91,-197.73,82.9,-114.83,122.84,-237.67,0.0,-237.67,42.66,-280.33,-280.33,60.76,-49.04,-49.04,0.0,0.0,0.0,0.0,0.0
2021-06-30,46.53,0.0,46.53,0.0,50.25,140.01,88.33,-232.06,34.46,-197.6,122.65,-320.25,0.0,-320.25,-104.73,-215.52,-215.52,60.76,-35.47,-35.47,0.0,0.0,0.0,0.0,0.0
2021-09-30,107.75,0.0,107.75,0.0,53.04,145.13,123.53,-213.95,156.3,-57.65,122.47,-180.12,0.0,-180.12,-31.78,-148.34,-148.34,60.84,-24.41,-24.41,0.0,0.0,0.0,0.0,0.0
2021-12-31,546.94,0.0,546.94,43.63,75.41,151.53,269.37,7.0,79.34,86.34,124.62,-38.28,0.0,-38.28,-13.75,-24.53,-24.53,60.95,-3.99,-3.99,0.0,0.0,0.0,0.0,0.0
2022-03-31,512.09,0.0,512.09,0.0,77.32,157.75,326.28,-49.26,40.64,-8.62,124.2,-132.82,0.0,-132.82,-42.86,-89.96,-89.96,61.0,-14.74,-14.74,0.0,0.0,0.0,0.0,0.0
2022-06-30,961.45,0.0,961.45,73.02,99.8,146.3,445.23,197.1,22.03,219.13,127.27,91.86,0.0,91.86,33.01,58.85,58.85,61.07,9.67,9.51,0.0,0.0,0.0,0.0,0.0
2022-09-30,653.95,0.0,653.95,58.7,90.19,149.74,352.75,2.57,16.44,19.01,127.01,-108.0,0.0,-108.0,-39.0,-69.0,-69.0,61.13,-11.34,-11.15,0.0,0.0,0.0,0.0,0.0
2022-12-31,839.28,0.0,839.28,72.29,89.14,151.56,397.88,128.41,19.68,148.09,126.69,21.4,0.0,21.4,8.47,12.93,12.93,61.25,2.12,2.09,0.0,0.0,0.0,0.0,0.0
2023-03-31,1104.49,0.0,1104.49,87.75,145.62,293.12,610.33,-32.33,18.72,-13.61,187.84,-201.45,-10.82,-212.27,123.48,-335.75,-335.75,97.97,-51.72,-51.72,0.0,0.0,0.0,0.0,0.0
2023-06-30,1266.6,0.0,1266.6,102.1,149.6,287.5,663.8,63.6,23.5,87.1,193.8,-106.7,0.0,-106.7,-26.6,-80.1,-80.1,98.0,-8.18,-8.18,0.0,0.0,0.0,0.0,0.0
2023-09-30,1935.3,0.0,1935.3,147.1,161.3,305.2,924.6,397.1,24.1,421.2,199.3,221.9,0.0,221.9,56.0,165.9,165.9,98.1,16.93,16.87,0.0,0.0,0.0,0.0,0.0
2023-12-31,1496.8,0.0,1496.8,116.3,155.8,313.6,757.2,153.9,59.0,212.9,195.8,17.1,0.0,17.1,4.5,12.6,12.6,98.1,1.28,1.28,0.0,0.0,0.0,0.0,0.0
2024-03-31,1198.4,0.0,1198.4,0.0,162.8,298.8,763.0,-26.2,44.8,18.6,199.1,-180.5,0.0,-180.5,-46.4,-134.1,-134.1,98.1,-13.68,-13.59,0.0,0.0,0.0,0.0,0.0
2024-06-30,1137.3,0.0,1137.3,94.0,155.9,310.7,636.9,-60.2,28.1,-32.1,203.3,-235.4,0.0,-235.4,-59.2,-176.2,-176.2,98.1,-17.95,-17.95,0.0,0.0,0.0,0.0,0.0
2024-09-30,1532.7,0.0,1532.7,124.7,166.6,325.8,766.8,148.8,40.3,189.1,205.5,-16.4,0.0,-16.4,-4.0,-12.4,-12.4,98.2,-1.26,-1.26,0.0,0.0,0.0,0.0,0.0
2024-12-31,1595.8,0.0,1595.8,123.0,163.8,316.0,786.1,206.9,38.6,245.5,202.3,43.2,0.0,43.2,8.7,34.5,34.5,98.2,3.51,3.51,0.0,0.0,0.0,0.0,0.0
2025-03-31,1176.6,0.0,1176.6,0.0,159.8,312.1,733.0,-28.3,56.7,28.4,194.9,-166.5,0.0,-166.5,-43.7,-122.8,-122.8,98.2,-12.51,-12.51,0.0,0.0,0.0,0.0,0.0
