Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Preference Share Capital,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,33.12,33.12,1401.81,1401.81,0.0,1434.93,663.26,0.0,7.23,709.97,675.94,553.49,180.28,73.05,1482.76,3627.66,613.85,0.78,382.0,0.0,996.63,2048.26,0.0,55.45,3.69,3104.03,0.0,232.17,103.66,64.86,102.04,20.9,523.63,3627.66,324.28,26.63,0.0,501.26,11.93,9.57,9180.64,446.88,0.0,0.0,39.48,392.85,1.52,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,33.59,33.59,1624.69,1624.69,0.0,1658.28,1012.78,0.0,8.3,1038.1,782.37,397.13,317.63,77.26,1574.39,4270.77,647.13,0.67,666.96,0.0,1314.76,2377.78,0.0,52.96,0.1,3745.6,0.0,166.34,104.3,107.3,122.16,25.07,525.17,4270.77,337.85,26.95,0.0,493.04,0.0,9.57,11180.05,526.3,0.0,0.0,17.02,309.67,1.93,6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,33.6,33.6,1725.88,1725.88,0.0,1759.48,1019.66,0.0,5.76,1025.42,1311.03,148.05,440.84,5.04,1904.96,4689.86,1300.09,0.7,209.72,0.0,1510.51,2494.54,0.0,36.5,0.0,4041.55,0.0,226.47,205.45,11.63,73.52,131.24,648.31,4689.86,388.5,36.58,0.0,380.65,96.89,9.57,14799.17,425.02,0.0,0.0,0.0,260.14,0.88,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,33.61,33.61,1581.82,1581.82,0.0,1615.43,985.28,0.0,5.15,990.43,1437.41,311.97,517.21,4.83,2271.42,4877.28,1399.37,0.9,3.99,126.2,1530.46,2785.29,2.65,3.18,47.07,4368.65,0.0,296.62,121.71,15.07,0.17,75.06,508.63,4877.28,235.61,385.76,0.0,390.84,0.0,9.57,18246.55,715.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,33.63,33.63,1766.93,1766.93,0.0,1800.56,405.49,0.0,7.04,412.53,1682.75,352.21,717.33,4.83,2757.12,4970.21,1360.08,1.78,7.66,132.02,1501.54,2828.22,0.87,3.74,39.57,4373.94,0.0,299.91,117.89,61.79,0.17,116.51,596.27,4970.21,166.22,510.67,0.0,524.95,0.0,9.58,33687.03,433.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,33.64,33.64,1603.65,1603.65,5.69,1642.98,625.0,0.0,8.73,633.73,2286.58,375.25,369.49,4.87,3036.19,5312.9,1328.46,2.37,8.72,151.94,1491.49,2705.21,0.39,3.72,58.24,4259.05,0.0,300.86,179.23,514.84,0.17,58.75,1053.85,5312.9,313.5,570.33,0.0,0.0,518.09,9.58,10.85,29.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,33.65,33.65,1592.68,1592.68,4.31,1630.64,562.5,6.27,12.99,581.76,2250.79,385.43,168.57,4.45,2809.24,5021.64,1314.33,2.48,17.95,166.38,1501.14,2613.92,0.44,4.84,46.56,4166.9,0.0,253.84,199.91,343.58,0.26,57.15,854.74,5021.64,348.31,454.13,0.0,0.0,458.08,9.58,8.38,28.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,33.66,33.66,1489.08,1489.08,3.56,1526.3,1955.58,37.32,14.82,2007.72,2339.89,600.28,274.23,4.83,3219.23,6753.25,1293.35,2.15,72.83,474.19,1842.52,2682.47,0.5,8.13,49.38,4583.0,1315.73,410.54,249.72,118.09,0.24,75.93,2170.25,6753.25,189.09,483.87,0.0,0.0,430.36,9.58,17.0,28.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,33.66,33.66,1446.05,1446.05,3.51,1483.22,3301.78,28.74,16.41,3346.93,2858.32,745.23,249.14,6.45,3859.14,8689.29,1297.29,2.57,38.13,446.45,1784.44,4786.11,0.5,0.87,80.82,6652.74,760.69,632.05,400.28,153.9,0.22,89.41,2036.55,8689.29,195.91,760.59,0.0,0.0,824.34,9.58,16.0,27.61,760.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,33.66,33.66,1679.54,1679.54,3.19,1716.39,2946.6,23.59,19.48,2989.67,3930.38,775.71,294.45,5.09,5005.63,9711.69,1368.21,4.05,83.55,438.36,1894.17,5724.7,0.5,0.9,100.28,7720.55,823.04,566.03,440.98,44.93,0.28,115.88,1991.14,9711.69,363.8,733.91,0.0,0.0,1326.64,9.58,13.15,8.71,823.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,33.67,33.67,1478.89,1478.89,3.55,1516.11,3444.87,7.3,23.06,3475.23,5082.58,549.08,234.19,4.7,5870.55,10861.89,1418.83,3.02,19.51,430.27,1871.63,6622.38,0.5,0.76,143.55,8638.82,1245.25,501.72,351.36,41.26,0.25,83.23,2223.07,10861.89,416.46,709.76,0.0,0.0,752.91,9.58,13.97,26.78,1245.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
