Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-03-31,3400.84,0.0,3400.84,125.77,7.28,0.0,439.79,2828.0,281.93,3109.93,1977.01,1132.92,1132.92,180.56,952.36,952.36,85.31,0.0,22.33,22.1,0.0,0.0,0.0,0.0,0.0
2018-06-30,3601.12,0.0,3601.12,193.78,7.52,0.0,96.2,3303.62,188.33,3491.95,2200.73,1291.22,1291.22,323.27,967.95,967.95,85.32,0.0,22.69,22.47,0.0,0.0,0.0,0.0,0.0
2018-09-30,3612.93,0.0,3612.93,183.16,9.07,0.0,61.61,3359.09,268.87,3627.96,2378.25,1249.71,1249.71,316.45,933.26,933.26,85.34,0.0,21.88,21.67,0.0,0.0,0.0,0.0,0.0
2018-12-31,3819.81,0.0,3819.81,190.96,9.9,0.0,225.32,3393.63,228.12,3621.75,2267.86,1353.89,1353.89,401.23,952.66,952.66,85.47,0.0,22.32,22.18,0.0,0.0,0.0,0.0,0.0
2019-03-31,3707.91,0.0,3707.91,155.18,10.48,0.0,91.21,3451.04,1.59,3452.63,2199.83,1252.8,1252.8,377.41,875.39,875.39,85.48,0.0,20.48,20.38,0.0,0.0,0.0,0.0,0.0
2019-06-30,3293.35,0.0,3293.35,175.06,26.49,121.66,47.08,2923.06,2.97,2926.03,2118.49,807.54,807.54,228.5,579.04,579.04,85.51,0.0,13.55,13.47,0.0,0.0,0.0,0.0,0.0
2019-09-30,2907.37,0.0,2907.37,134.98,27.84,180.3,80.32,2483.93,3.16,2487.09,1955.22,531.87,531.87,21.78,510.09,510.09,85.51,0.0,11.93,11.9,0.0,0.0,0.0,0.0,0.0
2019-12-31,2973.5,0.0,2973.5,136.85,18.14,98.41,419.35,2300.75,2.64,2303.39,1885.13,418.26,418.26,41.03,377.23,377.23,85.51,0.0,8.82,8.82,0.0,0.0,0.0,0.0,0.0
2020-03-31,2620.39,0.0,2620.39,110.08,25.33,-291.11,43.6,2732.49,7.29,2739.78,1950.75,789.03,789.03,95.5,693.53,693.53,85.51,0.0,16.22,16.22,0.0,0.0,0.0,0.0,0.0
2020-06-30,2232.15,0.0,2232.15,81.58,24.0,221.86,13.35,1891.36,4.62,1895.98,1673.93,222.05,222.05,55.12,166.93,166.93,85.51,0.0,3.9,3.9,0.0,0.0,0.0,0.0,0.0
2020-09-30,2193.83,0.0,2193.83,42.42,20.78,136.78,98.35,1895.5,39.24,1934.74,1624.84,309.9,309.9,74.53,235.37,235.37,92.47,0.0,5.43,5.43,0.0,0.0,0.0,0.0,0.0
2020-12-31,2213.66,0.0,2213.66,93.21,24.13,134.52,89.57,1872.23,3.1,1875.33,1547.19,328.14,328.14,77.64,250.5,250.5,92.47,0.0,5.42,5.42,0.0,0.0,0.0,0.0,0.0
2021-03-31,2090.42,0.0,2090.42,7.51,21.91,-0.15,118.17,1942.98,51.16,1994.14,1462.07,532.07,532.07,126.4,405.67,405.67,92.47,0.0,8.77,8.75,0.0,0.0,0.0,0.0,0.0
2021-06-30,2040.02,0.0,2040.02,107.49,17.79,188.79,50.09,1675.86,2.54,1678.4,1436.58,241.82,241.82,52.78,189.04,189.04,92.49,0.0,4.09,4.09,0.0,0.0,0.0,0.0,0.0
2021-09-30,1913.77,0.0,1913.77,91.08,17.9,131.52,61.01,1612.26,2.74,1615.0,1466.75,148.25,148.25,40.33,107.92,107.92,92.49,0.0,2.33,2.32,0.0,0.0,0.0,0.0,0.0
2021-12-31,2030.49,0.0,2030.49,130.5,19.68,71.45,53.99,1754.87,2.68,1757.55,1493.86,263.69,263.69,73.67,190.02,190.02,93.11,0.0,4.11,4.09,0.0,0.0,0.0,0.0,0.0
2022-03-31,1781.11,0.0,1781.11,106.08,19.02,-177.11,67.87,1765.25,4.34,1769.59,1467.47,302.12,302.12,93.01,209.11,209.11,93.71,0.0,4.49,4.49,0.0,0.0,0.0,0.0,0.0
2022-06-30,1745.39,0.0,1745.39,68.15,17.26,42.01,46.28,1571.69,5.21,1576.9,1374.54,202.36,202.36,51.08,151.28,151.28,94.32,0.0,3.21,3.21,0.0,0.0,0.0,0.0,0.0
2022-09-30,1796.77,0.0,1796.77,128.33,21.82,55.4,36.14,1555.08,4.07,1559.15,1265.97,293.18,293.18,70.92,222.26,222.26,94.32,0.0,4.71,4.68,0.0,0.0,0.0,0.0,0.0
2022-12-31,1985.15,0.0,1985.15,185.49,22.39,95.13,112.84,1569.3,3.46,1572.76,1260.81,311.95,311.95,82.57,229.38,229.38,94.32,0.0,4.86,4.82,0.0,0.0,0.0,0.0,0.0
2023-03-31,1899.73,0.0,1899.73,95.31,21.18,192.61,66.83,1523.8,4.3,1528.1,1229.78,298.32,298.32,82.06,216.26,216.26,94.32,0.0,4.59,4.56,0.0,0.0,0.0,0.0,0.0
2023-06-30,1766.31,0.0,1766.31,155.91,17.89,33.8,36.02,1522.69,17.78,1540.47,1236.69,303.78,303.78,62.83,240.95,240.95,94.32,0.0,5.11,5.09,0.0,0.0,0.0,0.0,0.0
2023-09-30,1867.45,0.0,1867.45,138.91,21.24,133.81,34.95,1538.54,17.61,1556.15,1223.3,332.85,332.85,85.22,247.63,247.63,95.91,0.0,5.24,5.16,0.0,0.0,0.0,0.0,0.0
2023-12-31,1766.9,0.0,1766.9,140.28,21.93,139.97,38.11,1426.61,71.32,1497.93,1194.35,303.58,303.58,77.84,225.74,225.74,98.49,0.0,4.67,4.61,0.0,0.0,0.0,0.0,0.0
2024-03-31,1979.32,0.0,1979.32,141.04,19.84,274.48,63.59,1480.37,52.33,1532.7,1178.84,353.86,353.86,78.36,275.5,275.5,114.99,0.0,4.82,4.78,0.0,0.0,0.0,0.0,0.0
2024-06-30,1902.53,0.0,1902.53,143.63,18.19,181.46,51.09,1508.16,31.04,1539.2,1200.27,338.93,338.93,82.3,256.63,256.63,115.7,0.0,4.19,4.17,0.0,0.0,0.0,0.0,0.0
2024-09-30,2066.01,0.0,2066.01,188.59,19.14,470.83,117.39,1270.06,1.69,1271.75,1127.46,144.29,144.29,33.78,110.51,110.51,147.31,0.0,1.74,1.74,0.0,0.0,0.0,0.0,0.0
2024-12-31,1902.45,0.0,1902.45,160.12,18.47,25.86,204.15,1493.85,2.8,1496.65,1110.88,385.77,385.77,103.86,281.91,281.91,148.54,0.0,3.8,3.79,0.0,0.0,0.0,0.0,0.0
2025-03-31,1879.93,0.0,1879.93,169.72,22.9,245.56,91.21,1350.54,25.21,1375.75,970.98,404.77,404.77,111.13,293.64,293.64,165.88,0.0,3.8,3.8,0.0,0.0,0.0,0.0,0.0
