Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Current Investments,Equity Share Application Money,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools"
2014-03-31,2085.02,2085.02,452.94,452.94,2537.96,1953.15,437.48,3.56,2394.19,7264.82,171.34,748.44,59.7,8244.31,13176.46,6.94,0.01,1.29,0.75,8.98,486.77,0.0,444.65,643.97,1584.37,0.0,62.52,1228.85,258.04,10042.68,11592.09,13176.46,10505.36,0.0,0.0,0.82,486.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,2085.02,2085.02,593.84,593.84,2678.86,2052.91,461.06,5.08,2519.05,9864.93,44.97,626.52,83.11,10619.53,15817.44,5.76,0.03,1.42,1.66,8.87,595.11,0.0,465.39,498.46,1567.83,11564.76,190.92,1289.89,264.67,939.37,14249.61,15817.44,12052.37,0.0,0.0,7.61,595.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,2085.02,2085.02,926.55,926.55,3011.58,2624.08,0.0,7.5,2631.59,389.91,90.5,15639.53,22.4,16142.34,21785.5,5.95,0.01,0.0,5.58,11.55,605.16,37.5,0.78,1138.96,1793.94,0.0,483.35,3030.94,0.8,16476.47,19991.56,21785.5,14254.74,0.0,0.0,4.6,605.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,2085.02,2085.02,998.36,998.36,3083.38,2436.88,0.0,8.89,2445.77,0.0,109.89,2677.52,40.89,2828.3,8357.44,7.57,0.01,0.0,12.73,20.3,614.85,40.96,6.56,1802.24,2484.91,740.77,281.0,2699.43,1.06,2150.27,5872.53,8357.44,14408.72,0.0,0.0,4.37,614.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,2085.02,2085.02,1266.46,1266.46,3351.48,2259.15,414.91,9.16,2683.22,0.0,68.45,1563.57,45.11,1677.13,7711.83,248.76,0.11,0.0,21.14,270.01,658.67,65.56,6.48,2182.43,3183.15,1.92,714.84,1400.83,7.42,2403.66,4528.68,7711.83,14875.34,0.0,0.0,1.86,658.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,2085.02,2085.02,1653.73,1653.73,3738.76,3024.2,251.83,13.91,3289.94,0.0,140.05,4185.82,48.62,4374.48,11403.17,250.82,28.41,8.96,2.48,290.67,928.84,73.96,9.44,1986.4,3289.32,4.48,639.91,942.39,11.91,6515.17,8113.86,11403.17,20490.75,0.0,0.0,0.58,928.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,2085.02,2085.02,2414.75,2414.75,4499.77,4256.65,299.87,21.68,4578.2,0.0,690.02,1936.73,70.37,2697.12,11775.08,281.66,23.65,18.36,6.37,330.04,968.93,42.78,9.12,1906.0,3256.87,9.18,836.65,981.24,9.75,6681.39,8518.21,11775.08,25427.38,0.0,0.0,0.54,968.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,2085.02,2085.02,2880.56,2880.56,4965.58,5671.51,377.78,27.09,6076.38,0.0,270.97,2154.79,82.13,2507.89,13549.85,272.27,19.88,47.07,6.37,345.59,1062.03,43.13,15.44,2102.31,3568.5,23.49,981.87,2041.92,10.76,6923.31,9981.35,13549.85,66516.92,0.0,0.0,37.25,1062.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,2085.02,2085.02,3546.39,3546.39,5631.41,6315.43,292.18,30.27,6637.88,279.95,230.5,6316.33,25.35,6852.13,19121.42,358.49,20.9,1.2,0.0,380.59,1163.05,13.15,6.06,3118.44,4681.29,49.91,1218.12,6785.45,4.51,6382.14,14440.13,19121.42,53174.73,0.0,0.0,31.5,1163.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,2085.02,2085.02,4394.13,4394.13,6479.15,6030.58,592.67,31.7,6654.95,377.29,626.29,3415.53,28.24,4447.35,17581.45,339.87,14.73,1.27,0.0,355.87,1186.64,13.69,4.87,7020.02,8581.09,58.93,1346.58,1809.47,4.13,5781.25,9000.36,17581.45,62816.49,0.0,0.0,2.32,1186.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,2085.02,2085.02,5782.26,5782.26,7867.28,5515.77,751.52,15.46,6282.75,472.0,252.4,3820.45,38.65,4583.5,18733.53,357.5,8.86,93.79,0.0,460.15,1610.75,13.98,4.07,6977.98,9066.93,64.72,1578.48,2997.13,29.15,4997.12,9666.6,18733.53,7471.02,100.88,85.46,1.2,1610.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
