Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,61.38,61.38,1039.4,1039.4,1100.78,0.0,922.18,111.24,1033.42,316.56,235.71,310.92,43.78,906.98,3041.18,672.39,1.4,157.72,0.0,0.0,831.5,386.08,0.0,261.17,24.92,1503.67,384.1,551.86,480.45,51.58,47.03,22.5,1537.51,3041.18,256.49,37.01,0.0,124.45,1.57,42.53,4.53,381.58,57.2,328.49,0.0,293.97,20.46,1.73,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,61.38,61.38,1106.38,1106.38,1167.76,0.0,742.12,141.32,884.94,348.53,328.58,403.56,49.92,1130.59,3183.29,610.89,0.53,167.4,0.0,0.0,778.82,400.96,0.0,256.59,86.71,1523.07,307.72,576.66,569.81,95.46,62.76,47.82,1660.22,3183.29,260.2,42.5,0.01,184.05,0.49,42.53,0.0,400.96,24.42,288.71,1.5,272.71,17.33,1.99,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,61.38,61.38,1177.06,1177.06,1238.44,0.0,770.82,153.47,957.3,408.3,389.17,438.45,32.45,1268.37,3464.11,581.75,0.53,196.76,0.0,0.0,779.04,497.85,0.0,281.03,54.62,1612.54,336.61,656.89,668.19,65.4,58.55,65.93,1851.57,3464.11,237.42,53.58,0.01,171.91,2.02,42.53,38.54,460.31,8.77,332.11,33.02,266.78,23.99,0.51,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,61.38,61.38,1162.66,1162.66,1224.04,0.0,473.97,17.96,491.92,812.23,400.07,638.82,39.11,1890.23,3606.2,568.87,0.0,285.38,0.0,5.23,859.48,469.38,24.39,167.87,186.19,1707.3,367.0,698.27,713.96,38.75,12.25,68.66,1898.89,3606.2,147.95,3.21,0.0,0.0,1.74,42.53,74.31,2.44,13.73,353.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,61.38,61.38,1255.68,1255.68,1317.06,0.0,410.68,61.06,471.74,747.82,541.07,878.6,37.59,2205.08,3993.88,1057.06,50.02,10.1,0.0,5.01,1122.19,469.04,11.45,183.84,131.8,1918.33,335.09,936.87,618.95,66.94,0.0,117.71,2075.55,3993.88,284.37,348.99,0.0,0.0,149.58,42.53,73.52,0.99,13.39,321.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,61.38,61.38,1307.43,1307.43,1368.81,0.0,189.47,14.44,203.91,1284.18,615.01,742.24,43.06,2684.49,4257.21,1065.13,0.6,47.27,0.0,4.8,1117.8,453.37,15.86,105.77,136.32,1829.12,251.82,1059.09,675.93,101.85,83.78,255.63,2428.1,4257.21,320.49,460.86,0.0,0.0,147.07,42.53,72.3,5.32,16.32,235.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,64.72,64.72,1716.2,1716.2,1780.92,1.85,230.55,232.61,463.16,1086.86,671.26,635.78,38.57,2432.47,4678.41,1214.85,1.5,25.72,4.75,4.59,1251.41,467.97,60.91,103.18,155.47,2038.94,180.02,1290.11,537.63,300.76,0.0,330.94,2639.47,4678.41,369.98,398.09,0.0,0.0,145.07,42.53,0.0,3.87,13.64,166.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,66.57,66.57,1602.43,1602.43,1669.01,0.0,1007.05,203.47,1210.53,207.02,640.74,655.96,39.73,1543.46,4423.0,1084.1,0.59,8.49,4.75,4.4,1102.33,474.03,116.38,29.0,107.27,1829.01,79.2,1000.83,585.95,473.11,120.0,334.9,2593.99,4423.0,356.38,115.29,0.0,0.0,64.93,42.53,0.0,7.4,17.39,61.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,66.57,66.57,1745.75,1745.75,1812.32,0.0,1063.62,312.99,1376.61,649.64,1378.76,570.14,57.95,2656.49,5845.42,1166.27,0.03,9.97,4.75,4.21,1185.23,497.46,370.64,21.53,128.35,2203.21,593.93,1543.15,720.1,232.27,52.5,500.27,3642.21,5845.42,333.14,260.44,0.0,0.0,145.93,42.53,0.0,64.98,20.3,573.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,66.57,66.57,2185.92,2185.92,2252.49,0.0,907.47,414.91,1322.38,938.89,1331.79,704.42,50.22,3025.33,6600.2,1255.27,0.21,24.16,4.75,4.13,1288.51,772.26,186.61,21.54,185.8,2454.72,773.09,1950.56,579.57,260.71,76.2,505.36,4145.48,6600.2,397.58,480.33,0.0,0.0,191.74,42.53,173.36,141.43,134.57,638.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,66.55,66.55,2751.6,2751.6,2818.15,0.0,2054.22,719.03,2773.25,548.3,1584.34,863.64,51.58,3047.86,8639.27,1579.74,1.68,32.24,28.04,1.92,1643.62,829.76,190.25,453.08,170.33,3287.04,1054.59,2011.07,940.25,446.22,149.97,750.11,5352.22,8639.27,339.8,506.77,0.0,0.0,191.95,42.53,99.28,222.41,156.76,897.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
