Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Provisions,Short Term Provisions,Preference Share Capital,Equity Share Application Money,Share Capital Suspense,Deferred Tax Assets [Net],Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,100.35,100.35,948.93,948.93,1049.28,1335.36,92.55,0.37,1526.32,812.37,429.89,279.37,1564.93,4140.58,1250.57,3.53,523.94,0.0,1778.03,706.91,121.29,89.65,2695.89,43.52,687.23,218.3,191.62,239.31,64.71,1444.69,4140.58,1258.35,131.25,24.34,1.35,330.2,4.98,0.0,0.0,4.41,0.22,706.35,44.69,0.0,98.04,43.3,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,100.46,100.46,1332.12,1332.12,1432.58,1278.6,112.14,0.51,1502.04,738.1,507.82,554.14,1892.24,4826.86,1895.58,3.11,153.35,0.0,2052.04,616.34,121.78,13.45,2803.61,89.61,781.68,386.6,266.62,412.62,86.11,2023.25,4826.86,789.34,158.41,40.19,2.92,294.2,9.73,0.01,16.66,3.09,0.97,615.78,92.03,0.0,110.78,92.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,100.47,100.47,1799.19,1799.19,1899.66,1589.48,132.76,186.26,1908.5,896.93,362.64,294.23,1553.8,5361.96,2638.47,10.2,181.1,0.0,2829.76,683.96,0.15,104.69,3618.55,7.73,811.64,362.51,61.75,0.42,499.37,1743.41,5361.96,611.95,177.02,48.56,3.4,605.91,13.79,0.0,6.11,2.37,2.76,1.1,7.73,16.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,100.47,100.47,2100.54,2100.54,2201.01,1924.45,165.25,227.82,2317.51,712.87,619.46,311.86,1729.24,6247.76,2997.42,11.64,47.92,0.0,3056.98,724.41,0.07,50.24,3831.69,101.82,898.1,739.78,104.4,0.25,571.72,2416.07,6247.76,420.83,448.74,43.94,3.34,282.12,340.73,0.0,13.84,0.8,2.24,178.57,76.81,25.01,0.0,85.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,100.47,100.47,2328.6,2328.6,2429.07,1590.71,183.88,220.26,1994.85,810.22,526.65,464.34,1824.57,6248.49,2749.43,26.79,69.93,0.0,2846.15,867.5,0.03,52.86,3766.54,35.32,926.48,732.72,100.87,0.25,686.31,2481.95,6248.49,443.21,592.5,33.97,3.04,90.35,16.52,0.01,21.33,1.04,1.71,210.93,32.69,2.63,0.0,23.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,100.47,100.47,2389.12,2389.12,2489.59,1250.05,181.16,218.85,1650.06,999.49,562.11,407.04,2124.24,6263.88,2574.01,50.86,27.3,1.36,2653.52,1064.46,0.01,102.13,3820.12,14.61,892.47,845.92,82.47,0.15,608.15,2443.76,6263.88,1430.01,493.17,35.65,2.07,47.63,223.6,0.01,25.54,0.99,1.02,219.24,9.06,5.55,0.0,155.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,100.47,100.47,2706.56,2706.56,2807.03,766.68,194.72,233.15,1194.54,1236.27,582.54,400.84,2219.65,6221.22,2318.92,41.99,22.07,1.63,2384.61,1128.32,0.07,163.83,3676.83,221.83,1056.42,754.25,79.67,9.78,422.45,2544.4,6221.22,1890.17,454.02,56.48,2.75,14.19,14.2,0.02,0.0,0.9,0.46,223.38,3.62,218.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,100.47,100.47,3238.16,3238.16,3338.64,260.85,256.97,288.19,806.01,1034.41,637.48,281.24,1953.13,6097.77,2110.45,22.91,22.93,2.04,2158.32,1408.39,0.19,65.92,3632.82,2.92,1072.08,748.81,223.49,0.45,417.21,2464.96,6097.77,2289.73,0.0,0.0,0.0,0.0,16.22,0.0,7.54,0.66,1.32,151.82,0.0,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,98.81,98.81,3376.34,3376.34,3475.15,146.57,297.76,307.63,751.95,1161.22,569.75,232.58,1963.54,6190.64,1961.51,17.11,41.68,3.95,2024.25,1437.38,1.65,124.44,3587.71,458.79,1069.77,804.27,79.86,0.35,189.89,2602.93,6190.64,3143.94,0.0,0.0,0.0,0.0,0.0,0.03,75.7,0.09,3.19,166.48,0.0,458.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,98.81,98.81,3439.58,3439.58,3538.39,35.78,324.02,344.24,704.04,876.56,662.9,186.9,1726.36,5968.79,1835.57,16.51,19.48,0.28,1871.84,1476.91,0.16,109.03,3457.94,425.95,1243.93,609.1,45.27,1.85,184.75,2510.85,5968.79,1970.42,0.0,0.0,0.0,0.0,0.57,0.0,0.0,13.99,1.73,182.29,0.0,425.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,97.18,97.18,3643.85,3643.85,3741.03,656.2,435.84,493.38,1585.42,1273.94,506.35,408.66,2188.95,7515.4,2822.15,11.12,43.78,1.96,2879.01,869.54,0.02,182.05,3930.62,697.8,1552.72,631.62,133.82,8.08,560.74,3584.78,7515.4,779.65,0.0,0.0,0.0,0.0,0.0,0.02,0.0,6.74,0.0,0.0,0.0,697.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
