Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-12-31,15323.65,0.0,15323.65,6718.45,0.0,773.79,0.0,2187.25,759.55,4203.96,680.65,119.48,800.13,674.51,125.62,-43.35,82.27,39.11,43.16,0.0,43.16,4130.53,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2018-03-31,17037.83,0.0,17037.83,7486.59,0.0,109.12,0.0,2317.26,848.48,4777.58,1498.8,227.03,1725.83,916.91,808.92,377.44,1186.36,370.79,815.57,0.0,815.57,4130.53,1.97,1.97,0.0,0.0,0.0,0.0,0.0
2018-06-30,15907.19,0.0,15907.19,7703.06,0.0,-1279.34,0.0,2222.86,813.61,4684.17,1762.83,97.76,1860.59,755.38,1105.21,-277.37,827.84,287.41,540.43,0.0,540.43,4130.53,1.31,1.31,0.0,0.0,0.0,0.0,0.0
2018-09-30,16718.04,0.0,16718.04,7500.9,0.0,42.62,0.0,2160.24,826.14,4649.24,1538.9,114.33,1653.23,771.07,882.16,-34.19,847.97,294.28,553.69,0.0,553.69,4130.53,1.34,1.34,0.0,0.0,0.0,0.0,0.0
2018-12-31,15835.79,0.0,15835.79,8380.99,0.0,-2127.28,0.0,2139.7,854.71,4864.23,1723.44,74.66,1798.1,825.08,973.02,-23.28,949.74,333.44,616.3,0.0,616.3,4130.53,1.49,1.49,0.0,0.0,0.0,0.0,0.0
2019-03-31,18506.29,0.0,18506.29,8705.96,0.0,647.38,0.0,2307.54,890.26,4630.93,1324.22,246.07,1570.29,803.39,766.9,-54.56,712.34,243.94,468.4,0.0,468.4,4130.53,1.13,1.13,0.0,0.0,0.0,0.0,0.0
2019-06-30,14820.01,0.0,14820.01,8127.66,0.0,-1378.62,0.0,2046.06,872.45,4442.97,709.49,182.84,892.33,788.4,103.93,0.0,103.93,35.09,68.84,0.0,68.84,4130.53,0.17,0.17,0.0,0.0,0.0,0.0,0.0
2019-09-30,14127.44,0.0,14127.44,7382.22,0.0,-1034.06,0.0,1959.1,901.14,4660.46,258.58,158.74,417.32,940.35,-523.03,0.0,-523.03,-180.19,-342.84,0.0,-342.84,4130.53,-0.83,-0.83,0.0,0.0,0.0,0.0,0.0
2019-12-31,16541.31,0.0,16541.31,7037.24,0.0,1939.58,0.0,2024.36,926.25,4542.54,71.34,186.63,257.97,849.38,-591.41,0.0,-591.41,-161.79,-429.62,0.0,-429.62,4130.53,-1.04,-1.04,0.0,0.0,0.0,0.0,0.0
2020-03-31,16171.79,0.0,16171.79,6665.75,0.0,-5082.72,0.0,2751.8,1055.21,5377.2,5404.55,457.01,5861.56,908.63,4952.93,-771.76,4181.17,1456.01,2725.16,0.0,2725.16,4130.53,6.6,6.6,0.0,0.0,0.0,0.0,0.0
2020-06-30,9067.48,0.0,9067.48,4359.94,0.0,-339.48,0.0,1992.91,973.31,3456.9,-1376.1,277.73,-1098.37,886.29,-1984.66,0.0,-1984.66,-714.39,-1270.27,0.0,-1270.27,4130.53,-3.08,-3.08,0.0,0.0,0.0,0.0,0.0
2020-09-30,16923.61,0.0,16923.61,5772.84,0.0,2956.39,0.0,2038.72,989.79,4255.18,910.69,197.61,1108.3,720.37,387.93,222.39,610.32,217.0,393.32,0.0,393.32,4130.53,0.95,0.95,0.0,0.0,0.0,0.0,0.0
2020-12-31,19832.93,0.0,19832.93,6506.53,0.0,1009.19,0.0,2343.47,981.25,4896.27,4096.22,216.29,4312.51,670.08,3642.43,2.48,3644.91,2361.74,1283.17,0.0,1283.17,4130.53,3.11,3.11,0.0,0.0,0.0,0.0,0.0
2021-03-31,23286.0,0.0,23286.0,6496.86,0.0,642.48,0.0,4070.84,1157.65,5922.93,4995.24,320.06,5315.3,540.4,4774.9,-166.44,4608.46,1164.66,3443.8,0.0,3443.8,4130.53,8.34,8.34,0.0,0.0,0.0,0.0,0.0
2021-06-30,20642.38,0.0,20642.38,6347.34,0.0,-790.13,0.0,2769.48,1026.07,5752.14,5537.48,110.38,5647.86,502.97,5144.89,0.0,5144.89,1294.87,3850.02,0.0,3850.02,4130.53,9.32,9.32,0.0,0.0,0.0,0.0,0.0
2021-09-30,26826.92,0.0,26826.92,8607.95,0.0,559.1,0.0,3334.34,1055.62,7308.63,5961.28,230.61,6191.89,439.0,5752.89,0.0,5752.89,1449.27,4303.62,0.0,4303.62,4130.53,10.42,10.42,0.0,0.0,0.0,0.0,0.0
2021-12-31,25245.92,0.0,25245.92,13283.76,0.0,-2065.87,0.0,3712.34,1048.71,6905.25,2361.73,248.97,2610.7,315.8,2294.9,-363.92,1930.98,487.88,1443.1,0.0,1443.1,4130.53,3.49,3.49,0.0,0.0,0.0,0.0,0.0
2022-03-31,30758.1,0.0,30758.1,14537.41,0.0,2011.91,0.0,3030.08,1143.77,6847.44,3187.49,452.07,3639.56,440.11,3199.45,10.51,3209.96,791.66,2418.3,0.0,2418.3,4130.53,5.85,5.85,0.0,0.0,0.0,0.0,0.0
2022-06-30,24028.59,0.0,24028.59,17676.33,0.0,-6193.16,0.0,3014.97,1193.89,7229.65,1106.91,305.43,1412.34,374.04,1038.3,0.0,1038.3,261.97,776.33,0.0,776.33,4130.53,1.88,1.88,0.0,0.0,0.0,0.0,0.0
2022-09-30,26246.31,0.0,26246.31,15250.94,0.0,1167.26,0.0,2832.58,1183.24,6262.9,-450.61,441.19,-9.42,506.17,-515.59,0.0,-515.59,-129.77,-385.82,0.0,-385.82,4130.53,-0.93,-0.93,0.0,0.0,0.0,0.0,0.0
2022-12-31,25041.88,0.0,25041.88,14321.32,0.0,-796.1,0.0,2773.0,1220.99,6666.88,855.79,120.75,976.54,640.26,336.28,298.41,634.69,171.15,463.54,0.0,463.54,4130.53,1.12,1.12,0.0,0.0,0.0,0.0,0.0
2023-03-31,29130.58,0.0,29130.58,14842.51,0.0,661.86,0.0,3433.07,1364.4,7279.28,1549.46,487.47,2036.93,517.0,1519.93,-40.42,1479.51,430.49,1049.02,0.0,1049.02,4130.53,2.54,2.54,0.0,0.0,0.0,0.0,0.0
2023-06-30,24357.58,0.0,24357.58,15256.22,0.0,-2204.74,0.0,2844.83,1274.85,6814.16,372.26,442.49,814.75,612.6,202.15,0.0,202.15,52.32,149.83,0.0,149.83,4130.53,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2023-09-30,29713.54,0.0,29713.54,13516.93,0.0,2016.67,0.0,3125.11,1326.32,7185.8,2542.71,173.67,2716.38,605.22,2111.16,-414.96,1696.2,455.54,1240.66,0.0,1240.66,4130.53,3.0,3.0,0.0,0.0,0.0,0.0,0.0
2023-12-31,23345.48,0.0,23345.48,13740.44,0.0,-2550.29,0.0,2938.19,1320.59,7076.95,819.6,178.54,998.14,613.85,384.29,76.46,460.75,129.35,331.4,0.0,331.4,4130.53,0.8,0.8,0.0,0.0,0.0,0.0,0.0
2024-03-31,27957.99,0.0,27957.99,15105.25,0.0,-614.56,0.0,2839.79,1355.69,7152.13,2119.69,353.36,2473.05,642.14,1830.91,-502.34,1328.57,317.35,1011.22,0.0,1011.22,4130.53,2.45,2.45,0.0,0.0,0.0,0.0,0.0
2024-06-30,23997.78,0.0,23997.78,13673.6,0.0,-1618.35,0.0,2778.18,1402.09,6944.94,817.32,200.15,1017.47,691.45,326.02,-311.76,14.26,3.58,10.68,0.0,10.68,4130.53,0.03,0.03,0.0,0.0,0.0,0.0,0.0
2024-09-30,24674.7,0.0,24674.7,12242.59,0.0,-678.93,0.0,2871.66,1303.67,7335.13,1600.58,269.49,1870.07,757.52,1112.55,0.0,1112.55,279.03,833.52,0.0,833.52,4130.53,2.02,2.02,0.0,0.0,0.0,0.0,0.0
2024-12-31,24489.63,0.0,24489.63,11785.47,259.69,593.72,0.0,2720.52,1420.36,7105.2,604.67,364.31,968.98,679.48,289.5,28.53,318.03,192.23,125.8,0.0,125.8,4130.53,0.3,0.3,0.0,0.0,0.0,0.0,0.0
