Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods
2015-03-31,4130.53,4130.53,39374.25,39374.25,43504.78,14025.56,2395.19,1239.22,3705.34,21365.31,14195.16,3606.38,14016.53,2638.71,34456.78,99326.87,34658.4,1510.21,29195.82,0.0,65364.43,919.07,0.0,4507.25,53.83,70844.58,17736.37,3192.0,2305.24,3056.33,2192.35,28482.29,99326.87,0.0,12058.91,521.62,48.38,1567.71,0.0,11.4,0.0,419.15,584.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,4130.53,4130.53,35065.37,35065.37,39195.9,17495.71,0.0,1692.13,3271.65,22459.49,15574.86,4002.71,16464.66,2642.65,38684.88,100340.27,44378.87,1546.2,24927.22,0.88,70853.17,1291.75,1799.8,449.95,1746.95,76141.62,14679.53,3143.49,297.96,64.09,6013.58,24198.65,100340.27,0.0,10257.24,384.59,0.0,1567.71,0.0,10.29,1288.94,334.99,703.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,4130.53,4130.53,31878.53,31878.53,36009.06,19087.48,0.0,1524.58,3593.94,24206.0,19813.04,5219.2,18377.4,2914.77,46324.41,106539.47,48762.03,1522.58,23275.39,0.86,73560.86,1395.48,4005.84,453.52,1578.35,80994.05,15711.35,2921.69,289.09,61.47,6561.82,25545.42,106539.47,0.0,0.0,0.0,0.0,0.0,0.0,13.3,1382.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,4130.53,4130.53,31583.14,31583.14,35713.67,29777.16,0.0,1324.07,3973.28,35074.51,12244.32,7540.5,21312.62,2304.18,43401.62,114189.8,57156.09,1454.63,18395.43,0.83,77006.98,1491.3,4185.27,451.46,1416.59,84551.6,16996.67,3869.94,254.06,63.41,8454.12,29638.2,114189.8,0.0,3771.22,180.62,0.0,0.0,2243.7,15.8,1475.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,4130.53,4130.53,34021.04,34021.04,38151.57,30802.66,0.0,1590.63,4295.41,36688.7,10631.22,7257.99,21399.48,2308.77,41597.46,116437.73,59907.26,1450.86,16013.5,1.09,77372.71,1584.75,2898.38,563.98,1768.64,84188.46,19441.8,4495.05,219.42,53.24,8039.76,32249.27,116437.73,37336.25,25857.51,259.23,0.0,0.0,2872.64,22.34,1583.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,4130.53,4130.53,35646.85,35646.85,39777.38,34560.03,0.0,1699.76,4108.8,40368.59,16640.78,6320.38,19635.75,2354.93,44951.84,125097.81,67574.5,1443.42,8751.56,1.12,77770.6,1584.98,2078.99,664.59,2080.2,84179.36,23747.2,8812.39,363.25,49.67,7945.94,40918.45,125097.81,50723.81,22734.24,139.67,0.0,0.0,3619.68,5.06,1579.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,4130.53,4130.53,39364.35,39364.35,43494.88,19725.96,0.0,6196.93,1253.16,27176.05,15850.24,7014.41,21584.24,2039.84,46488.73,117159.66,66169.39,1429.28,8878.48,1.09,76478.24,1595.01,0.0,756.23,2117.8,80947.28,19508.3,7124.0,680.52,50.47,8849.09,36212.38,117159.66,47462.92,16533.8,137.05,0.0,0.0,6109.57,0.0,1622.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,4130.53,4130.53,47886.61,47886.61,52017.14,8135.81,5259.93,7679.51,5331.02,26406.27,5249.84,16918.01,15979.41,1170.47,39317.73,117741.14,72196.76,1459.35,4016.72,1.06,77673.89,1624.49,0.0,559.54,4650.32,84508.24,24128.47,4736.83,647.83,43.1,3676.67,33232.9,117741.14,49894.5,30234.34,31.48,0.0,0.0,6988.42,0.0,1624.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,4130.53,4130.53,48008.65,48008.65,52139.18,6112.58,5747.17,8806.98,5603.61,26270.34,19549.2,14338.87,14038.12,1379.28,49305.47,127714.99,72001.7,1521.02,4891.36,1.03,78415.11,1672.67,0.0,655.19,4573.46,85316.43,32351.56,5362.48,397.95,35.29,4251.28,42398.56,127714.99,52358.94,51936.9,17.86,0.0,0.0,2638.89,0.0,1672.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,4130.53,4130.53,50000.01,50000.01,54130.54,9568.21,6178.2,8506.25,5723.77,29976.43,21025.11,15332.39,15777.61,1290.37,53425.48,137532.45,70917.76,1488.84,6140.57,0.99,78548.16,1694.07,0.0,877.3,3905.49,85025.02,37270.87,8308.72,541.6,28.31,6357.93,52507.43,137532.45,57489.46,43003.07,59.67,0.0,0.0,1687.24,0.0,1694.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
