Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-12-31,1208.26,0.01,1208.27,187.67,188.53,729.33,102.74,-131.46,-28.72,7.86,-36.58,0.0,-36.58,-25.0,-11.58,-11.58,285.0,-0.41,-0.41,0.0,0.0,0.0,0.0,0.0
2016-03-31,1222.13,0.0,1222.13,217.59,189.91,683.69,130.94,129.53,260.47,4.01,256.46,-274.15,-17.69,88.13,-105.82,-105.82,285.0,-3.71,-3.71,0.0,0.0,0.0,0.0,0.0
2016-06-30,1220.52,0.0,1220.52,184.68,189.47,710.24,136.13,178.3,314.43,8.28,306.15,-15.56,290.59,86.26,204.33,204.33,285.0,7.17,7.17,0.0,0.0,0.0,0.0,0.0
2016-09-30,1248.52,0.0,1248.52,189.89,189.37,748.82,120.44,270.48,390.92,7.99,382.93,0.0,382.93,115.28,267.65,267.65,285.0,9.39,9.39,0.0,0.0,0.0,0.0,0.0
2016-12-31,1318.62,0.0,1318.62,192.99,188.18,820.69,116.76,163.95,280.71,7.16,273.55,1706.67,1980.22,497.51,1482.71,1482.71,285.0,52.02,52.02,0.0,0.0,0.0,0.0,0.0
2017-03-31,1280.49,-614.08,666.41,189.53,197.56,838.12,-558.8,0.0,-558.8,7.25,-566.05,-882.85,-1448.9,-184.04,-1264.86,-1264.86,285.0,-44.38,-44.38,0.0,0.0,0.0,0.0,0.0
2017-06-30,1291.6,0.0,1291.6,222.76,191.0,816.92,60.92,66.99,127.91,4.98,122.93,0.0,122.93,41.1,81.83,81.83,285.0,2.87,2.87,0.0,0.0,0.0,0.0,0.0
2017-09-30,1253.81,0.0,1253.81,209.92,198.88,754.55,90.46,41.48,131.94,14.85,117.09,-201.03,-83.94,44.61,-128.55,-128.55,285.0,-4.51,-4.51,0.0,0.0,0.0,0.0,0.0
2017-12-31,1266.06,0.0,1266.06,223.63,202.28,740.15,100.0,97.18,197.18,11.59,185.59,0.0,185.59,63.53,122.06,122.06,285.0,4.28,4.28,0.0,0.0,0.0,0.0,0.0
2018-03-31,1309.43,0.0,1309.43,202.07,238.09,811.7,57.57,249.01,306.58,8.89,297.69,-33.2,264.49,73.2,191.29,191.29,285.0,6.71,6.71,0.0,0.0,0.0,0.0,0.0
2018-06-30,1223.35,0.0,1223.35,206.82,213.78,731.44,71.31,49.06,120.37,10.33,110.04,0.0,110.04,39.27,70.77,70.77,285.0,2.48,2.48,0.0,0.0,0.0,0.0,0.0
2018-09-30,1295.1,0.0,1295.1,236.07,212.28,798.91,47.84,15.63,63.47,8.86,54.61,-3.72,50.89,18.23,32.66,32.66,285.0,1.15,1.15,0.0,0.0,0.0,0.0,0.0
2018-12-31,1414.08,0.0,1414.08,239.88,222.05,879.2,72.95,15.39,88.34,6.83,81.51,0.0,81.51,20.44,61.07,61.07,285.0,2.14,2.14,0.0,0.0,0.0,0.0,0.0
2019-03-31,1422.38,0.0,1422.38,238.48,242.77,832.36,108.77,46.37,155.14,10.1,145.04,-663.25,-518.21,88.61,-606.82,-606.82,285.0,-21.29,-21.29,0.0,0.0,0.0,0.0,0.0
2019-06-30,1373.08,0.0,1373.08,246.09,228.66,725.17,173.16,76.7,249.86,12.04,237.82,0.0,237.82,70.84,166.98,166.98,285.0,5.86,5.86,0.0,0.0,0.0,0.0,0.0
2019-09-30,1469.64,0.0,1469.64,250.39,228.91,846.07,144.27,43.65,187.92,11.31,176.61,-5.92,170.69,95.54,75.15,75.15,285.0,2.64,2.64,0.0,0.0,0.0,0.0,0.0
2019-12-31,1418.68,0.0,1418.68,240.88,236.02,800.73,141.05,30.88,171.93,15.27,156.66,0.0,156.66,43.12,113.54,113.54,285.0,3.98,3.98,0.0,0.0,0.0,0.0,0.0
2020-03-31,1488.93,0.0,1488.93,261.47,283.85,807.47,136.14,29.04,165.18,16.57,148.61,-340.23,-191.62,-44.73,-146.89,-146.89,285.0,-5.15,-5.15,0.0,0.0,0.0,0.0,0.0
2020-06-30,1510.35,0.0,1510.35,264.51,238.17,766.66,241.01,35.5,276.51,30.9,245.61,-10.49,235.12,61.45,173.67,173.67,285.0,6.09,6.09,0.0,0.0,0.0,0.0,0.0
2020-09-30,1592.15,0.0,1592.15,270.68,238.96,779.98,302.53,157.26,459.79,27.78,432.01,53.3,485.31,86.58,398.73,398.73,285.0,13.99,13.99,0.0,0.0,0.0,0.0,0.0
2020-12-31,1544.48,0.0,1544.48,291.69,226.71,786.67,239.41,39.27,278.68,24.78,253.9,-11.43,242.47,61.55,180.92,180.92,285.0,6.35,6.35,0.0,0.0,0.0,0.0,0.0
2021-03-31,1578.34,0.0,1578.34,277.73,269.05,803.86,227.7,42.53,270.23,23.27,246.96,19.44,266.4,57.06,209.34,209.34,285.0,7.34,7.34,0.0,0.0,0.0,0.0,0.0
2021-06-30,1576.2,0.0,1576.2,328.44,219.56,773.1,255.1,169.0,424.1,23.54,400.56,0.0,400.56,66.81,333.75,333.75,285.0,11.71,11.71,0.0,0.0,0.0,0.0,0.0
2021-09-30,1628.17,0.0,1628.17,309.78,229.02,786.59,302.78,43.45,346.23,22.25,323.98,10.08,334.06,82.49,251.57,251.57,285.0,8.83,8.83,0.0,0.0,0.0,0.0,0.0
2021-12-31,1657.7,0.0,1657.7,318.57,229.97,833.4,275.76,47.31,323.07,22.3,300.77,0.0,300.77,75.26,225.51,225.51,285.0,7.91,7.91,0.0,0.0,0.0,0.0,0.0
2022-03-31,1725.28,0.0,1725.28,322.43,237.59,959.27,205.99,298.73,504.72,20.5,484.22,0.7,484.92,128.42,356.5,356.5,285.0,12.51,12.51,0.0,0.0,0.0,0.0,0.0
2022-06-30,1720.36,0.0,1720.36,359.17,232.4,891.31,237.48,259.02,496.5,25.34,471.16,0.0,471.16,111.54,359.62,359.62,285.0,12.62,12.62,0.0,0.0,0.0,0.0,0.0
2022-09-30,1775.02,0.0,1775.02,378.53,232.08,946.51,217.9,66.24,284.14,22.97,261.17,46.74,307.91,72.55,235.36,235.36,285.0,8.26,8.26,0.0,0.0,0.0,0.0,0.0
2022-12-31,1843.54,0.0,1843.54,399.69,236.99,982.63,224.23,75.32,299.55,21.31,278.24,0.0,278.24,69.29,208.95,208.95,285.0,7.33,7.33,0.0,0.0,0.0,0.0,0.0
2023-03-31,1897.36,0.0,1897.36,415.79,294.56,1016.55,170.46,96.44,266.9,20.42,246.48,-322.76,-76.28,61.5,-137.78,-137.78,285.0,-4.83,-4.83,0.0,0.0,0.0,0.0,0.0
2023-06-30,1975.08,0.0,1975.08,442.97,249.42,1042.24,240.45,209.11,449.56,15.07,434.49,1.97,436.46,108.3,328.16,328.16,285.0,11.51,11.51,0.0,0.0,0.0,0.0,0.0
2023-09-30,2007.66,0.0,2007.66,439.68,255.17,1117.94,194.87,46.17,241.04,23.39,217.65,0.0,217.65,53.21,164.44,164.44,285.0,5.77,5.77,0.0,0.0,0.0,0.0,0.0
2023-12-31,2005.28,0.0,2005.28,434.3,260.9,1079.26,230.82,64.47,295.29,54.36,240.93,-185.52,55.41,83.31,-27.9,-27.9,285.0,-0.98,-0.98,0.0,0.0,0.0,0.0,0.0
2024-03-31,2003.66,0.0,2003.66,425.88,272.88,1105.9,199.0,104.33,303.33,62.75,240.58,-10.2,230.38,56.45,173.93,173.93,285.0,6.1,6.1,0.0,0.0,0.0,0.0,0.0
2024-06-30,1808.65,0.0,1808.65,392.18,246.48,1012.31,157.68,80.02,237.7,42.0,195.7,189.3,385.0,43.07,341.93,341.93,285.0,12.0,11.99,0.0,0.0,0.0,0.0,0.0
2024-09-30,1794.09,0.0,1794.09,390.98,249.27,994.13,159.71,38.96,198.67,59.79,138.88,-306.58,-167.7,-47.81,-119.89,-119.89,285.0,-4.21,-4.2,0.0,0.0,0.0,0.0,0.0
2024-12-31,1814.65,0.0,1814.65,374.69,243.2,1018.61,178.15,71.34,249.49,65.55,183.94,-4.39,179.55,47.82,131.73,131.73,285.0,4.62,4.62,0.0,0.0,0.0,0.0,0.0
2025-03-31,1860.47,0.0,1860.47,381.62,245.18,1117.11,116.56,78.02,194.58,68.19,126.39,678.79,805.18,108.08,697.1,697.1,285.0,24.46,24.45,0.0,0.0,0.0,0.0,0.0
